name,category,lat,lng,weekly_hours,rating,reviews_count
HADA STORE (BHAKTAPUR JUJU DHAU 巴德岗老酸奶店）,Coffee shop,27.6722935,85.4269415,104.5,4.5,36
Namaste Coffee Shop,Coffee shop,27.6713833,85.4295005,0.0,4.5,8
Jhee Newa Cafe,Coffee shop,27.6726029,85.4312104,101.5,4.0,1
Kissing Fish Spa,Coffee shop,27.6716587,85.4301434,78.0,5.0,1
Kopu burger cafe,Coffee shop,27.6709997,85.4298171,0.0,5.0,1
Ichu galli,Coffee shop,27.6713256,85.4279672,0.0,5.0,1
DAAMI Cafe,Coffee shop,27.6691297,85.4280708,0.0,5.0,1
Kanxi chiya pasal,Coffee shop,27.6722306,85.4324328,0.0,1.0,1
Coffee Break,Cafe,27.6718026,85.4305635,84.0,5.0,5
Pulanchhen,Cafe,27.673801,85.4270962,98.0,5.0,1
Sha-Jhya Cafe & Funkey Delights,Cafe,27.6719183,85.4296154,91.0,3.7,158
Bhaktapur King Curd,Cafe,27.6722945,85.4270212,94.5,4.4,8
Chandrayan Espresso Bar,Espresso bar,27.6721252,85.4235942,98.0,3.8,86
Suresh coffee shop,Coffee shop,27.6775854,85.4302684,0.0,0.0,0
श्याम चिया पसल,Coffee shop,27.6760317,85.4325788,0.0,0.0,0
Fried local foods,Coffee shop,27.6718627,85.4297751,0.0,0.0,0
Art Gallery Cafe (AGC),Coffee shop,27.6717925,85.4324033,0.0,0.0,0
Kharbuza's Shop,Coffee shop,27.6771993,85.4228395,0.0,0.0,0
rajan khiunju,Coffee shop,27.6748464,85.4273098,0.0,0.0,0
Daily Grind Coffee,Restaurant,27.6721663,85.429265,98.0,4.8,9
Gomari Chhen,Coffee shop,27.6722932,85.4327994,0.0,0.0,0
Tuchhimama,Coffee shop,27.6733738,85.4311453,0.0,0.0,0
Aayan’s cafe and fastfood,Coffee shop,27.6734265,85.4311372,0.0,0.0,0
Punahari Coffee Shop,Cafe,27.6756396,85.4351914,0.0,1.0,1
Cafe De Bonjour,Fast food restaurant,27.6727303,85.4267056,87.0,4.2,6
The Hangout,Cafe,27.676286,85.4323664,0.0,4.0,4
Khwopa Media,Cafe,27.6719772,85.4372379,0.0,5.0,1
Namo Buddha Khaja Ghar,Cafe,27.6760901,85.4229492,84.0,4.5,4
बर्गर हाउस,Cafe,27.6727151,85.4258303,77.0,4.1,155
Zoom Eat Street,Cafe,27.6727115,85.4266876,91.0,2.5,2
Cafe Zone,Cafe,27.6718091,85.4306621,101.5,3.8,21
TERAKOTA WINDOW CAFE,Cafe,27.6738041,85.4311855,90.0,0.0,0
Lumanti Cafe,Cafe,27.6733741,85.4370836,77.0,0.0,0
Vajra Boutique Hotel,Restaurant,27.6726197,85.4295217,0.0,4.2,209
Alphabet Pizzeria,Restaurant,27.6722963,85.4241239,74.5,4.5,950
The Nanee,Cafe,27.6727318,85.4257091,0.0,4.5,93
its chai wala,Cafe,27.6752631,85.4300374,0.0,0.0,0
LUNIVA RESTAURANT AND GUEST HOUSE,Cafe,27.6747818,85.4312311,0.0,4.4,11
Shiva Guest House,Cafe,27.6718108,85.428603,0.0,4.0,17
Nasajwolan Newa kitchen & Continental Food,Family restaurant,27.6723271,85.424125,77.0,2.1,7
Coffee Square,Cafe,27.6729764,85.4263687,0.0,4.4,22
Hostel Swastik,Restaurant,27.6755045,85.434147,0.0,4.9,54
Awal paha chhen,Restaurant,27.675937,85.433786,77.0,0.0,0
NUMA KRISHI TATHA FRESH FARM PVT,Family restaurant,27.6738729,85.4272013,0.0,0.0,0
Taleju Grand Hotel - Bhaktapur,Cafe,27.6726564,85.4289499,0.0,4.8,17
Sukuldhoka_ newar_khaja_ghar,Restaurant,27.6723944,85.4303515,0.0,0.0,0
Newa Lahana Bhaktapur & Hotel,Restaurant,27.6722545,85.4308109,0.0,4.3,44
Aamako Bara Pasal,Restaurant,27.6719045,85.4294079,0.0,4.0,188
Travellers Bistro,Asian restaurant,27.6733506,85.4351605,0.0,0.0,0
Sudhha MoMo,Momo restaurant,27.6728872,85.4296237,0.0,0.0,0
Mahakali Mo mo,Fast food restaurant,27.6763359,85.4324363,0.0,0.0,0
Community at The Nanee,Restaurant,27.6727094,85.4258379,108.5,4.7,63
Baiga Vutoo,Restaurant,27.6724496,85.429542,77.0,4.9,13
De Arena Restaurant Paryatak Pasal,Restaurant,27.6735504,85.4346362,87.5,4.6,30
Jhegu newa kitchen restro,Family restaurant,27.6698837,85.4293982,70.0,4.4,10
New Watshala Garden Restaurant,Restaurant,27.6718001,85.4285972,83.5,4.6,5
Peaceful Korean Restaurant,Korean restaurant,27.6733352,85.4350754,70.0,4.3,147
Sakotha Woh-Chatamari Fast Food,Fast food restaurant,27.6719049,85.4294072,66.27,4.5,20
Binayak Fast Food & Sekuwa Corner,Fast food restaurant,27.6768541,85.4371348,84.0,4.5,2
Temple Terrace Restaurant,Restaurant,27.6714191,85.4293764,0.0,5.0,1
Samsara thakali restaurant,Thai restaurant,27.672294,85.433751,99.0,4.5,10
Gwakhancha,Restaurant,27.6711897,85.4284526,91.0,5.0,7
