name,lat,lng,category,final_weight,rank,filled_rank
Nepal Bank ltd. Suryabinayak Ghalate,27.6656829,85.4212152,Bank,0.4743347944745371,11,11.0
Sanima Bank Ltd. Suryabinayak Branch,27.6656625,85.4273906,Bank,0.6353219898803822,12,12.0
Everest Bank Ltd. Bhaktapur Branch,27.6654375,85.4233906,Bank,0.6464163963648472,18,18.0
"National Microfinance, Sipadole Branch",27.6608876,85.4462192,Bank,0.455349215458646,5,5.0
Simal Saving & Credit Co Operative Ltd,27.6451028,85.4427152,Bank,0.7220158820719793,1,1.0
Nepal Bank Limited,27.6715784,85.4223191,Bank,0.4686788118549556,7,7.0
Nabil Bank Suryabinayak Branch,27.6654125,85.4229844,Bank,0.6134816935651813,9,9.0
Machhapuchhre Bank,27.6655125,85.4228594,Bank,0.49215326194347964,11,11.0
Mega Bank Nepal Limited,27.6730038,85.3853933,Bank,0.6162433291946593,5,5.0
Prime Commercial Bank Ltd. Gatthaghar Branch,27.6741015,85.3747911,Bank,0.6470357041039535,7,7.0
Machhapuchchhre Bank Limited,27.673083,85.3827282,Bank,0.6101194550042014,8,8.0
Kumari Bank Limited,27.6737574,85.3726543,Bank,0.6095856994934852,9,9.0
NMB Bank Limited,27.6736921,85.3735331,Bank,0.6496857230804898,14,14.0
Prime Bikas Bank,27.6731368,85.3863172,Bank,0.5109404478764272,15,15.0
Agricultural Development Bank Limited,27.6742161,85.3726825,Bank,0.5525915283585814,16,16.0
NIC ASIA Bank Balkot Branch,27.6654417,85.3662755,Bank,0.5910671809595346,18,18.0
"Sanima Bank, Gathhagar Branch",27.6743583,85.3708735,Bank,0.5900925220892697,19,19.0
"Sanima Bank ,Thimi Branch",27.6732068,85.3873588,Bank,0.5414768258557384,20,20.0
Simal SACCOS,27.654067,85.4600435,Bank,0.7220158820719793,1,1.0
Sanima Bank Balkot Branch,27.6654177,85.3666323,Bank,0.5877264309450916,2,2.0
Mega Bank,27.6703413,85.3648844,Bank,0.6198973062420349,3,3.0
Nepal Investment Bank Limited,27.6742302,85.3649806,Bank,0.6565216629374339,9,9.0
Laxmi Bank Limited Kaushaltar Branch,27.6746046,85.3669265,Bank,0.6212767615956523,12,12.0
Lumbini Bikas Bank,27.6741774,85.3643236,Bank,0.5504511848379326,13,13.0
Prabhu Bank Limited,27.6747078,85.3651556,Bank,0.6110428434581548,19,19.0
Khalpitar Saving & Credit Co-operative Ltd.,27.6648452,85.3715479,Bank,0.5232789486939008,23,23.0
Kumari Bank Limited,27.6659625,85.4245781,Bank,0.5390892253874283,11,11.0
NMB Bank Limited,27.6654375,85.4246875,Bank,0.616008155557163,13,13.0
"Muktinath Bikas Bank Limited, Suryabinayak Branch",27.6653125,85.4254375,Bank,0.5125277494650969,14,14.0
Himalayan Bank ATM,27.6744449,85.3691812,Bank,0.5097423129637375,10,10.0
Bihani Saving And Creadit Co-operative,27.6745604,85.3742347,Bank,0.43058357372815276,35,35.0
Maitriya Saving & Credit Co-operative Limited,27.6695908,85.3660235,Bank,0.4498797173660782,57,57.0
Global IME Bank Limited,27.6785213,85.481423,Bank,0.7543930975284249,1,1.0
NIC ASIA Bank Limited,27.6825103,85.410853,Bank,0.5714831017504323,10,10.0
Subha dibyashwori,27.6820579,85.3868757,Bank,0.39979365986049786,30,30.0
Manohara Bachat Tatha Rin Sahakari,27.7050875,85.4056406,Bank,0.7220158820719793,1,1.0
शुभ श्री बचत तथा ऋण सहकारी संस्था लि.,27.6984764,85.3730711,Bank,0.4355525178321426,23,23.0
Garima Bikash Bank Ltd,27.6659465,85.4249225,Bank,0.4814580747686104,17,17.0
Sahakali Saving & Credit Co-operative Ltd.,27.6971616,85.3705532,Bank,0.4300687732128661,37,37.0
Laxmi sunrise bank,27.6737868,85.3798809,Bank,0.37500000003645834,8,8.0
karya binayak saving and credit co-operative limited,27.6727344,85.3854477,Bank,0.39794180800690726,36,36.0
Nawa Adarsha Saving & Credit cooperative Ltd.,27.6731854,85.3868984,Bank,0.4300687732128661,37,37.0
Nerudo Rural Development Organization (NERUDO) Gothatar,27.6994338,85.3746301,Bank,0.40455556462677905,21,21.0
गुण बचत तथा ऋण सहकारी संस्था लिमिटेड,27.6651643,85.4276832,Bank,0.34259259260159464,36,36.0
"Siddhartha Bank Ltd. Kamalbinayak, Chyamhasingh Branch",27.6735949,85.439405,Bank,0.6908775454729748,4,4.0
Muktinath Bikas Bank Limited,27.6779053,85.4379807,Bank,0.5442737812353161,6,6.0
Prime Bank Chyamasingh Bhaktapur,27.6725038,85.4380771,Bank,0.4488375419983323,12,12.0
Mahalaxmi Bikas Bank Limited,27.6776007,85.4378384,Bank,0.48749125727759535,13,13.0
National Cooperative Bank Limited,27.6779441,85.4387091,Bank,0.4124920725702786,14,14.0
NIC Asia Bank ATM,27.6777106,85.4380782,Bank,0.4418930975479562,16,16.0
Central Finance Ltd.,27.6736591,85.4397548,Bank,0.5189888227049805,17,17.0
Bhaktapur Bachat,27.6745358,85.4390908,Bank,0.5347433066839571,19,19.0
प्राइम कमर्सियल बैंक लिमिटेड,27.6656426,85.4298249,Bank,0.5303848923365893,8,8.0
Kumari Bank,27.6684141,85.4371154,Bank,0.4773650975072919,10,10.0
Kamana sewa bikas bank,27.6666607,85.4361769,Bank,0.41090477098160894,15,15.0
Nepal SBI Bank Ltd.,27.671412,85.4092883,Bank,0.94586992336833,1,1.0
Nabil Bank Limited - Bhaktapur Branch,27.66993,85.4101356,Bank,0.7162433292246594,2,2.0
"Laxmi Sunrise Bank, Sallaghari Branch",27.6716123,85.4093394,Bank,0.6912704857637362,3,3.0
Prime Commercial Bank Ltd.,27.6705506,85.410454,Bank,0.5273650975397919,4,4.0
Nabil Bank Duwakot Branch,27.6786722,85.4087069,Bank,0.5966082316648683,9,9.0
Parijat Saving & Credit Cooperative Ltd.,27.6694847,85.4082208,Bank,0.4757391205151002,24,24.0
Heet Saving & Credit Co-operative,27.6678874,85.4370585,Bank,0.5106984308639585,5,5.0
Sharad Saving Co-operative,27.6681888,85.4368902,Bank,0.44670078985978584,13,13.0
Jaya Bhawani SACCOS,27.6673168,85.4153143,Bank,0.3434343434441383,33,33.0
Central Finance Limited,27.6719659,85.4089316,Bank,0.37500000003645834,8,8.0
Siddhartha Bank Gapali Suryabinayak,27.6676367,85.4265248,Bank,0.5254528617393498,20,20.0
Aastha Saving and Credit Society Ltd. आस्था वचत तथा ऋण सहकारी संस्था लि.,27.669582,85.4281537,Bank,0.3412698412775888,42,42.0
