name,lat,lng,category
Surye temple,27.6753988,85.4351012,Hindu temple
Gauri Shankar Temple,27.6722606,85.4306029,Hindu temple
Mahakali Dyochhen(महाकाली द्योछेँ),27.6744667,85.4318681,Hindu temple
Nasa Dyo (Suryamadhi Nasa dyo),27.6735845,85.4372927,Hindu temple
Macho Bhairav Temple,27.6719707,85.435819,Hindu temple
Nasa Dyo (Yalachhen Nasa Dyo),27.6738838,85.4295827,Hindu temple
Manakamana temple,27.6719942,85.4293335,Hindu temple
Kuti Pwaka Ganesh,27.6756008,85.4353771,Hindu temple
Naasa Dyo,27.671983,85.430551,Hindu temple
Indra siddhi Ganesh Temple,27.6723832,85.4328083,Hindu temple
Ram Jhupadi (राम झुपडी),27.672313,85.4324719,Hindu temple
Kolachhen,27.6729046,85.4371705,Hindu temple
Hamadev Temple,27.6722295,85.4373541,Hindu temple
Mahalaxmi Temple,27.674889,85.4332981,Hindu temple
"Bhaktpur Darbar, Kathmandu, Nepal",27.6721763,85.4282921,Hindu temple
हरि शंकर नारायण मन्दिर,27.6726894,85.4358239,Hindu temple
Bramhayani Dyochhen,27.6736189,85.4365444,Hindu temple
Gauri Narayan Temple,27.6725821,85.4253507,Hindu temple
"Tripurasundari, gymnastic hall",27.6727195,85.4304213,Hindu temple
Ganesh mandir,27.6785491,85.4348566,Hindu temple
Wachu Narayan Temple,27.6720776,85.4349028,Hindu temple
Bal Gopal,27.6743899,85.4302949,Hindu temple
Bhindyo Deity,27.6723864,85.4357277,Hindu temple
magar niwas,27.6748464,85.4273098,Hindu temple
Bholachhen Ganesh Temple,27.6751106,85.4319521,Hindu temple
Anantalingeswar Temple,27.6724439,85.4265545,Hindu temple
गाँखु महादेब मन्दिर,27.6886132,85.3948237,Hindu temple
Temple Square,27.699378,85.3816558,Hindu temple
Ganesh Temple,27.6991877,85.3831991,Hindu temple
"Sidhhi Ganesh Temple, Nagadesh",27.6841608,85.3843357,Hindu temple
Luu jhya(golden window),27.6840503,85.3853201,Hindu temple
श्री सिद्धेश्वर महादेव मन्दिर,27.6845209,85.3781801,Hindu temple
"Sileshwor Mahadev, Naagdesh",27.6873549,85.381375,Hindu temple
Saraswati Mandir,27.6826682,85.3851232,Hindu temple
जंला द्यो Harisiddhi Temple 𑐖𑑄𑐮𑐵 𑐡𑑂𑐫𑑅 𑐠𑐶𑐩𑐶 𑐩𑐴𑐾𑐱𑑂𑐰𑐬𑐷,27.6808972,85.385612,Hindu temple
Kumanani Ganesh Temple गणेद्यो,27.6805202,85.3855531,Hindu temple
Radha Krishna Temple,27.6820325,85.3795552,Hindu temple
Ganesh Temple,27.6893094,85.3809187,Hindu temple
प्रकारेश्वर महाद्यः,27.6807205,85.3830701,Hindu temple
Nityanath Temple नासं द्यो,27.6808733,85.3844688,Hindu temple
Kshetrapal Mandir (क्षेत्रपाल मन्दिर),27.6843523,85.3875818,Hindu temple
सिद्धिकाली मू: धिमे छें,27.681213,85.3851627,Hindu temple
Bhimsen Temple / भिन्द्यो,27.6807391,85.3817354,Hindu temple
𑐣𑐵𑐳𑑅 𑐡𑑂𑐫𑑅 Nityenath Temple,27.6800305,85.3868497,Hindu temple
"Shiv Mandir Bahakha Bazaar, Nagadesh",27.6829558,85.3861071,Hindu temple
Siddhikali Temple,27.6806137,85.3830539,Hindu temple
Mahadev Temple,27.685101,85.3843531,Hindu temple
