name,lat,lng,category
Simal Saving & Credit Co Operative Ltd,27.6451028,85.4427152,Bank
Nepal Bank Limited,27.6715784,85.4223191,Bank
Nabil Bank Suryabinayak Branch,27.6654125,85.4229844,Bank
Machhapuchhre Bank,27.6655125,85.4228594,Bank
Mega Bank Nepal Limited,27.6730038,85.3853933,Bank
Prime Commercial Bank Ltd. Gatthaghar Branch,27.6741015,85.3747911,Bank
Machhapuchchhre Bank Limited,27.673083,85.3827282,Bank
Kumari Bank Limited,27.6737574,85.3726543,Bank
NMB Bank Limited,27.6736921,85.3735331,Bank
Prime Bikas Bank,27.6731368,85.3863172,Bank
Agricultural Development Bank Limited,27.6742161,85.3726825,Bank
NIC ASIA Bank Balkot Branch,27.6654417,85.3662755,Bank
"Sanima Bank, Gathhagar Branch",27.6743583,85.3708735,Bank
"Sanima Bank ,Thimi Branch",27.6732068,85.3873588,Bank
Simal SACCOS,27.654067,85.4600435,Bank
Sanima Bank Balkot Branch,27.6654177,85.3666323,Bank
Mega Bank,27.6703413,85.3648844,Bank
Nepal Investment Bank Limited,27.6742302,85.3649806,Bank
Laxmi Bank Limited Kaushaltar Branch,27.6746046,85.3669265,Bank
Lumbini Bikas Bank,27.6741774,85.3643236,Bank
Prabhu Bank Limited,27.6747078,85.3651556,Bank
Khalpitar Saving & Credit Co-operative Ltd.,27.6648452,85.3715479,Bank
Kumari Bank Limited,27.6659625,85.4245781,Bank
NMB Bank Limited,27.6654375,85.4246875,Bank
"Muktinath Bikas Bank Limited, Suryabinayak Branch",27.6653125,85.4254375,Bank
Himalayan Bank ATM,27.6744449,85.3691812,Bank
Bihani Saving And Creadit Co-operative,27.6745604,85.3742347,Bank
Maitriya Saving & Credit Co-operative Limited,27.6695908,85.3660235,Bank
Global IME Bank Limited,27.6785213,85.481423,Bank
NIC ASIA Bank Limited,27.6825103,85.410853,Bank
Subha dibyashwori,27.6820579,85.3868757,Bank
Manohara Bachat Tatha Rin Sahakari,27.7050875,85.4056406,Bank
शुभ श्री बचत तथा ऋण सहकारी संस्था लि.,27.6984764,85.3730711,Bank
Garima Bikash Bank Ltd,27.6659465,85.4249225,Bank
Sahakali Saving & Credit Co-operative Ltd.,27.6971616,85.3705532,Bank
Laxmi sunrise bank,27.6737868,85.3798809,Bank
karya binayak saving and credit co-operative limited,27.6727344,85.3854477,Bank
Nawa Adarsha Saving & Credit cooperative Ltd.,27.6731854,85.3868984,Bank
Nerudo Rural Development Organization (NERUDO) Gothatar,27.6994338,85.3746301,Bank
गुण बचत तथा ऋण सहकारी संस्था लिमिटेड,27.6651643,85.4276832,Bank
"Siddhartha Bank Ltd. Kamalbinayak, Chyamhasingh Branch",27.6735949,85.439405,Bank
Muktinath Bikas Bank Limited,27.6779053,85.4379807,Bank
Prime Bank Chyamasingh Bhaktapur,27.6725038,85.4380771,Bank
Mahalaxmi Bikas Bank Limited,27.6776007,85.4378384,Bank
National Cooperative Bank Limited,27.6779441,85.4387091,Bank
NIC Asia Bank ATM,27.6777106,85.4380782,Bank
Central Finance Ltd.,27.6736591,85.4397548,Bank
Bhaktapur Bachat,27.6745358,85.4390908,Bank
प्राइम कमर्सियल बैंक लिमिटेड,27.6656426,85.4298249,Bank
Kumari Bank,27.6684141,85.4371154,Bank
Kamana sewa bikas bank,27.6666607,85.4361769,Bank
Nepal SBI Bank Ltd.,27.671412,85.4092883,Bank
Nabil Bank Limited - Bhaktapur Branch,27.66993,85.4101356,Bank
"Laxmi Sunrise Bank, Sallaghari Branch",27.6716123,85.4093394,Bank
Prime Commercial Bank Ltd.,27.6705506,85.410454,Bank
Nabil Bank Duwakot Branch,27.6786722,85.4087069,Bank
Parijat Saving & Credit Cooperative Ltd.,27.6694847,85.4082208,Bank
Heet Saving & Credit Co-operative,27.6678874,85.4370585,Bank
Sharad Saving Co-operative,27.6681888,85.4368902,Bank
Jaya Bhawani SACCOS,27.6673168,85.4153143,Bank
Central Finance Limited,27.6719659,85.4089316,Bank
Siddhartha Bank Gapali Suryabinayak,27.6676367,85.4265248,Bank
Aastha Saving and Credit Society Ltd. आस्था वचत तथा ऋण सहकारी संस्था लि.,27.669582,85.4281537,Bank
