name,lat,lng,category
स्लाश एजुकेशन फाउण्डेसन प्रा.लि.,27.6659578,85.4253128,Educational institution
Suryabinayak Mini Krishi Farm,27.6657136,85.427336,Farm school
Aarogya Farms Katunje,27.6604304,85.4084352,Farm school
Vidyarthi Niketan School - Bhaktapur,27.6721365,85.4297881,School center
Shree Springdale S B School,27.6406042,85.431487,School center
Bhaktapur Maple School,27.6599338,85.4258096,School center
See result Online,27.6691065,85.4060715,School center
Pragya English School,27.6893492,85.4120976,Boarding school
Manoram Boarding School,27.6693151,85.4045028,Boarding school
Apex Boarding High School,27.65994,85.425774,Boarding school
Icon Music,27.6759639,85.437378,Music school
Nepali traditional Music Studio,27.6827708,85.4493108,Music school
"Sankalpa institute of Music, Dance and Arts",27.6706317,85.4093747,Music school
Fusion Music And Dance Academy,27.6762311,85.4375939,Music school
Mukti Music Training Center,27.671551,85.4302259,Music school
Sa Re Ga Ma Music School & RecordingStudio,27.6716621,85.4079405,Music school
Unity thangka,27.6730727,85.4346271,Art school
Bajrala Thangka Painting School,27.6725729,85.4292055,Art school
Historical Thangku Art School,27.6731633,85.4347781,Art school
Traditional Thanka Painting School,27.672697,85.429784,Art school
Geniune Thanka Painting School,27.6701003,85.4277698,Art school
Peace Thanka Centre,27.6694639,85.4278085,Art school
IEC School of Art & Fashion,27.6709844,85.4097768,Art school
Destiny Tuition Centre,27.671988,85.4313619,Special education school
Satprayas Special Needs School Nepal,27.6677801,85.4323108,Special education school
Saras Pathshala School Bhaktapur,27.6634478,85.4430159,Special education school
Khwopa College (TU Affiliated),27.678014,85.4324319,College
BMC Bsc. Csit Block,27.6688451,85.4213352,College
ICH COLLEGE [INSTITUTE OF COMMUNITY HEALTH],27.6703725,85.4195802,College
Khwopa Engineering College(Block A),27.67096,85.4399895,College
Nicholson College / Secondary School,27.6732361,85.4051609,College
Madan Ashrit College,27.6700454,85.4129891,College
Aadarsha Azad College,27.6679931,85.4319817,College
BMC Computer and Science Office,27.6689445,85.421577,College
BMC BBA Block,27.6698504,85.4218693,College
Iwamura College of Health Science,27.6723726,85.4112782,College
स्व.वि.यु भवन,27.6697991,85.4209875,College
BMC BBM/BIM/BCA Block,27.6697816,85.4206096,College
Universal Modern College/ Modern English Secondary School,27.6745078,85.4051265,College
BMC Basketball Court,27.668975,85.4203313,College
Iwamura College of Health Science (Nursing Unit),27.6649571,85.4259719,College
Kathmandu Medical College Basic Science Building,27.6810936,85.4120632,College
Oxford Practical English School / College,27.6746985,85.4085805,College
Kirtipur,27.6865852,85.4581859,College
KHWOPA POLY-TECHNIC INSTITUTE ENGINEERING DEPARTMENT,27.6797432,85.4446131,College
Rhombus National Collage,27.6781129,85.4447394,College
Prajwol House,27.683519,85.4520142,College
Kathmandu Medical College,27.6872117,85.4082908,College
Sanothimi college hostel,27.6793164,85.4030016,College
Chakrabarti Habi Education Academy - College of Health Science,27.6738432,85.4020597,College
Rajdhani national collage,27.6780668,85.4446684,College
Sainik School for Bachelor Studies,27.6727143,85.414011,College
Holy Garden English Secondary School,27.675965,85.4294723,General education school
Jaycees English School,27.6736511,85.4269509,General education school
Khwopa Secondary School,27.6778469,85.4330416,General education school
MVA - Mahendra Vidya Ashram Bhaktapur Pvt. Ltd.,27.6673333,85.4238851,General education school
SIpadol School,27.6435494,85.4330036,General education school
Global Life School,27.6774145,85.4413497,General education school
Lisha English Secondary School,27.6733164,85.4423558,General education school
Prasadi Pathshala Montessori School,27.6659218,85.4333593,General education school
United school,27.6946888,85.4304223,General education school
Manakamana English Secondary School,27.6783436,85.4381422,General education school
BAL BHUSAN SCHOOL,27.7032295,85.4284575,General education school
Kids Town Montessori School,27.6953638,85.4105258,General education school
Golden Gate English Secondary School,27.67759,85.4310296,High school
Medha Secondary School,27.6708989,85.4249715,High school
Sooryodaya Secondary School,27.6704593,85.4339449,High school
Mount Valley English Secondary School,27.6759807,85.4356293,High school
भक्तपुर,27.6764293,85.432703,High school
Hostel Basu,27.6775416,85.4302587,High school
Dattatraya Lower Secondary School,27.67379,85.4354319,High school
जाेरपाटी माध्यमिक विद्यालय,27.6723979,85.4228803,High school
Little World English Secondary School,27.6696545,85.4199713,High school
Gyan Tara English Secondary School,27.6681374,85.424071,High school
Sunshine National School,27.6685867,85.4214808,High school
NR.Secondary School,27.6704694,85.4217939,High school
Glitter Future (Secondary) School,27.6685794,85.4249608,High school
AJ School,27.6646266,85.4225146,High school
Pentagon Open School,27.6705774,85.4218015,High school
Future Star English School,27.6712289,85.4245736,High school
Zenith English Sec. School,27.6695516,85.423642,High school
विद्यालय,27.6664326,85.4216148,High school
Shree Bhuvaneshwari Secondary School,27.6491017,85.4509896,High school
NASEMEP,27.6830176,85.4478714,High school
East point academy ( school ),27.6795914,85.4431793,High school
Wiseland Sec.School,27.6676649,85.4346173,High school
Vidhya Arjan English Secondary School,27.6671338,85.4328354,High school
PROXIMA INTERNATIONAL ACADEMY,27.667432,85.432278,High school
Vidhya Vikash Sec.Boarding School,27.6676646,85.4353954,High school
Bal Vikash English Secondary School,27.6706248,85.4424652,High school
Khwopring English Secondary School,27.6708125,85.4408125,High school
