name,lat,lng,category
जिल्ला विकास समितिको कार्यालय,27.67311,85.42862,Government office
"Education Development and Coordination Unit, Bhaktapur",27.6762795,85.4266134,Government office
बाल अदालत Bal Adalat,27.6729189,85.4280353,Government office
Tourist Police Bhaktapur,27.6745851,85.4278289,Government office
"Kathmandu Valley Development Authority (KVDA), Bhaktapur",27.673072,85.4288359,Government office
जिल्ला पशु सेवा कार्यालय,27.6712581,85.4201998,Government office
Kathmandu Upatyaka Khane Pani Ltd.,27.6724234,85.4230685,Government office
Khana Pani Sansthan,27.6725021,85.4230487,Government office
"Monument Protection & Palace Care Office, Bhaktapur",27.671881,85.429097,Government office
district agriculture development office,27.6660359,85.416719,Government office
"Agriculture and Animal Development Section, Bhaktapur Municipality",27.6711925,85.4202906,Government office
Wada Karyalaya,27.6819046,85.3867131,Government office
Madhyapur Thimi Municipality Ward Office,27.6818807,85.386802,Government office
Mulpani Switching station Nea,27.700942,85.3860168,Government office
१न. नापी टोली भक्तपुर,27.672189,85.3843766,Government office
New ward no 5 Building Office,27.6781678,85.3808068,Government office
Urban Health Center ward no 7,27.7018754,85.3851004,Government office
Thimi Substation,27.6813807,85.3919221,Government office
Central Level Project Implementation Unit,27.6830041,85.3732822,Government office
District Project Execution Unit (Building),27.6757762,85.4128579,Government office
Nepal Electricity Authority Billing Counter,27.6725439,85.4226816,Government office
Nepal Telecom Bhaktapur (नेपाल टेलिकम भक्तपुर),27.6723125,85.4225625,Government office
"Malpot Office, Bhaktapur",27.6755306,85.4412649,Government office
Suryabinayak-Dhulikhel Road Project (सुर्यविनायक-धुलिखेल सडक आयोजना),27.6805717,85.3934101,Government office
Transport Management Office - Radhe Radhe,27.6774487,85.3974762,Government office
Swasthya Bima Board Bhaktapur,27.6771455,85.3887784,Government office
Bhaktapur lekhapadi,27.6755226,85.441903,Government office
Water boring,27.658759,85.4205138,Government office
Suryabinayak Municipality Ward 10,27.6518979,85.4682335,Government office
Bhaktapur District court,27.6754173,85.443524,Government office
Office Of Changunarayan Municipality Ward 8,27.6863015,85.4805255,Government office
Sukajor Ward Office (Ramechhap mun-7),27.6865852,85.4581859,Government office
Suryabinayak Municipality Ward 8,27.6435787,85.4329037,Government office
Office of Industry and Commerce Bhaktapur,27.661207,85.426253,Government office
Changunarayan Municapility Office New,27.6958579,85.4611951,Government office
Binaya home,27.7124621,85.4248247,Government office
Police Station duwakot Byesi,27.7073526,85.4135128,Government office
Suryabinayak Municipality 3 No. Ward Office,27.660967,85.3772215,Government office
Nepal Electricity Authority,27.6745583,85.380837,Government office
Golden era,27.6734634,85.3643861,Government office
Urban Health Center Kausaltar,27.6746636,85.3658864,Government office
"NEA, Transformer Workshop Branch, kharipati,ने .वि.प्रा., ट्रान्सर्फमर वर्कशप शाखा, खरिपाटी",27.6875821,85.4546227,Government office
आदिवासी जनजातिको उत्थान परिषद्,27.6936161,85.4632279,Government office
AWCKharyaipati,27.6895561,85.4608282,Government office
Balefi office,27.6882111,85.4569136,Government office
Changunarayan nagarpalika,27.6954573,85.4608457,Government office
National Zoological Garden,27.6580706,85.4203387,Government office
"Madhapur Thimi Municipality Ward No.3 Office, kaushaltar",27.6746577,85.3658908,Government office
Dudhmel,27.6979634,85.470263,Government office
Ministry of Urban Development Central Level Project Implementation Unit DLPIU-Bhaktapur,27.6756374,85.4136694,Government office
Kamerotar Land Polling Project,27.6743818,85.390435,Government office
Shree sainik gatthagar,27.6808316,85.3791231,Government office
