name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,imageUrl,url
Ganesh Calisthenics Park,Park,Park,"MC4F+C4J, F099, Suryabinayak, Nepal",Suryabinayak,27.6565663,85.4221475,5.0,2,0,0,0,0,0,168.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzVhOqCQCvF42_D5b44ggEqiviFxt6QKggCYe5_wFUjf4VEkba6qVpICNoregYQMvI2AqvjuVzBPQ2Iaox6NH11P_kId_uEqZQspKkCegttju8zPNLNITXHFVW_xSZpqvgf-rpgGkjDE6o=w408-h543-k-no,https://www.google.com/maps/search/?api=1&query=Ganesh%20Calisthenics%20Park&query_place_id=ChIJyVUULwAR6zkRkngy1Dym1EI
Ithuli pipalbot tathali bhaktapur,Park,Park,"MC8X+MVG, Changunarayan, Nepal",Changunarayan,27.6666865,85.4497031,4.1,11,1,0,3,0,7,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxciOFZkXj6m2jehAOLI6fSyh3fDVLMghuTBRQzvxOHBG9vNXLws0PnYHeV-tG16Desc0vmlRdnub4CSkuT8jIkt3qUE9Pf8u1D4SHmgkOv3Q1BhUrSLbACXv6rpl5YKD0LE7M=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Ithuli%20pipalbot%20tathali%20bhaktapur&query_place_id=ChIJ4aqiWR8F6zkR_2UD89Ng8Vo
Ghumti,Park,Park,"JCWV+23W, Suryabinayak, Nepal",Suryabinayak,27.6451028,85.4427153,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gSqp8N6vBh3aDuTOhf5EmQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=33.612236&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Ghumti&query_place_id=ChIJUYLDtMoP6zkRCtTnzv1DG4I
Gundu Grassland,Park,Park,"JCXF+35C, Ghyampe Danda Sadak, Anantalingeshwar 44800, Nepal",Anantalingeshwar,27.6476994,85.4229003,4.1,32,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx3ACIgzW8TPXW7P7GZqRaXKBpNMSyGPS92kxG0uLZld7U17kq7DjaDJrVIodMd5mHEbYy23WFpMHoSgkdfzVmiheisL_CA9a5vQqnMbDnYBMGEnWHmegRJbY1jX23dYMSR9jAZtg=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Gundu%20Grassland&query_place_id=ChIJS03SBbwR6zkRgPjFwotWRfg
Pilot baba ground,Park,Park,"JCRC+6RV, Ghyampe Danda Path, Anantalingeshwar, Nepal",Anantalingeshwar,27.6406182,85.4220613,4.0,27,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwfV1aYwL92epuymmZ3UQwafcxM1URvX_9RtAtr7KvrlM595267UhkgxUtU9ac0OwOTtKSUoH4cWndxZYQpAoBd5RBp4g3WQ1wS5YtgsoI6gUdwIxEU2jmD-gqltOKx5esSIgCZ=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Pilot%20baba%20ground&query_place_id=ChIJI_0WuRcR6zkRcyv07RbuCtk
Chautara Changu,Park,Park,"PC6G+X4F, Changunarayan 44600, Nepal",Changunarayan,27.712412,85.4250815,4.0,1,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzBBppJ2J9x6tYtOcKZV8dyCon4bJCj3vK9RWgnZ1hpf9dOtEoBhMDsUoz4OW6hB4HkBn3EukiNpVYHpYYr0No2QYLu5NQXVBqB__kObfesxjAy0Nwn9wDKKgVF_D8IkRzSG-VS=w408-h408-k-no,https://www.google.com/maps/search/?api=1&query=Chautara%20Changu&query_place_id=ChIJz2dUVAAb6zkRvYUDveqJyq4
Sahari Harit Park,Park,Park,"M99P+G7P, Anantalingeshwar, Nepal",Anantalingeshwar,27.6688477,85.385712,4.0,1,0,0,0,0,0,168.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzHCH5cgUP-ZQvv_9YLtUBHuJXJly_Y1k0DfxoFcntX7IDMsCT8GylB0O8mO8lZYP1NZ8TsemJgh_YZuQvP1OLs9oiv0RhWsX_sJvFbu_fPTW48LsETe0SG-7HMk2L7tBuWwWLq5A=w519-h240-k-no,https://www.google.com/maps/search/?api=1&query=Sahari%20Harit%20Park&query_place_id=ChIJm6p6rtEb6zkRbTOZRQ7VSxc
Suchana tole,Park,Park,"Bhaktapur 32701, Nepal",Bhaktapur,27.6634375,85.3781875,5.0,1,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fuXzdV-rCIrN5txyiDMUyw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=352.47235&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Suchana%20tole&query_place_id=ChIJQUeo6Vcb6zkR5e-rG_U8ICc
Salla Ghari Park,Park,Park,"M98P+8GH, Anantalingeshwar, Nepal",Anantalingeshwar,27.6658061,85.3863702,3.6,13,0,0,0,0,0,168.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx6--TRJqUZwFNV0_wsKDaBsBF-g5PqEn3YzUNy3Ito2TH8_TVDv04eXOZ6E9dtD_D5hb5PRNVNltM6iA5lcYTk-wK3wRprfGkr9-cpH4ZILV2CFuS9VRkaYAf2dVu4S6qo9eJ8LQ=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Salla%20Ghari%20Park&query_place_id=ChIJa6ueRCEb6zkRjqND_AtlcD0
Doleshwor parking,Park,Park,"JCRP+5Q2, Suryabinayak, Nepal",Suryabinayak,27.6403948,85.4369023,4.1,12,0,1,3,2,6,168.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxAo368BGtYmVCQyioI-sxkTIXDp-DxTlFPfq1sCmrZm42PeMn7miQgeUZhMYbhOmZbwQ5KzxK60XZVCLUBAhXjI2_VWyCrSA_ZOPHc7si1rAOtIQB2Kf3_AUdwXTs5ya1TRh_dyRiBasfZ=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Doleshwor%20parking&query_place_id=ChIJG0grGQAR6zkROgJ28__X7cE
