name,category,lat,lng,place_id
Janajyoti Library जनज्योति पुस्तकालय,Public library,27.6736267,85.4239798,ChIJbYyVx68a6zkRucQY0gvGjv8
Martyr Memorial Library,Public library,27.6704964,85.4321917,ChIJfYwGg64a6zkR8a7aPmJyzP8
Yug Vijaya Public Library,Public library,27.6736015,85.4354604,ChIJPcZvea0a6zkROPKwkrJ6p1M
Tech-City Pvt. Ltd.,Software company,27.6723806,85.4301217,ChIJQTIKSa4a6zkRNHCP4DQijGc
Spark Ortho Neuro Center,Hospital,27.6659344,85.4192158,ChIJjxPS5aUb6zkRvhe5AWGZbCM
Suryabinayak Polyclinic,Hospital,27.6648182,85.425057,ChIJrQuYq6ca6zkR3sF-3oh52pQ
Tathali Health Post,Hospital,27.6680403,85.4261613,ChIJO7sf3qUa6zkRo-tqcGYxWx0
Siddhi Pathology Lab,Hospital,27.6655012,85.4246681,ChIJ3VJxOb0b6zkRedM2c8my2S8
chandeshwori health care pvt.ltd.,Hospital,27.6701412,85.4202209,ChIJNUE7BHUb6zkRTiXqRE3G9no
Health & Health Clinic Bhaktapur,Health consultant,27.66424,85.4257978,ChIJIVDD-lcb6zkR8y9Dg9KIwwc
Safal Ayurveda Pharma,Ayurvedic clinic,27.6671694,85.4240416,ChIJjWvZW0Ib6zkRuP96xb_1q_A
2nd ticket counter - bhaktapur square,Ticket office,27.6753192,85.4300027,ChIJi_3IQgAb6zkRNQ6mjFP9z0k
Children Care Bhaktapur,Child health care center,27.6706495,85.4201496,ChIJF6i0q2ob6zkRYGclOqZJOLw
सामुदायिक स्वास्थ्य केन्द्र,Community health center,27.6654541,85.425116,ChIJPxFmgwIb6zkReH624mZnHQY
Dental Service - Clinic One Bhaktapur,Dental clinic,27.6675463,85.4259317,ChIJ1Ve0IKgb6zkRwUUi61kR30s
Munankarmi forme and dentala Clinic,Medical clinic,27.666616,85.425226,ChIJd_nHZ6Ya6zkReEYai3du3KU
Om Sanjeevani Pharma,Medical clinic,27.6636788,85.4257096,ChIJwbIfRQAb6zkRuOJliIi6ec4
Om Dental and Implant Centre ( ओम डेन्टल एन्ड इम्प्लन्ट सेन्टर),Dental clinic,27.6638741,85.4220527,ChIJp0dOgmQb6zkRKcuQwm7ANmk
Aashakiran Psychological Counseling And Autism Care Center,Mental health service,27.6643255,85.4264016,ChIJbTCpT_Ub6zkRakazjK80Un4
Smile Impress Dental Suryabinayak Branch,Dental clinic,27.6655011,85.4242405,ChIJKV1xdgAb6zkR7oUHKNY0xOA
Care 32 Dental Clinic,Dental clinic,27.6781372,85.4072938,ChIJOwu1hfkb6zkRXKdD_sbIw_w
OM BHAKTAPUR DENTAL CLINIC,Dental clinic,27.6786529,85.4086741,ChIJ_WAyNQAb6zkRRYahHWZOhnM
Himalaya Dental Care Bhaktapur,Dental clinic,27.6639422,85.4293945,ChIJGa2FLAAb6zkR_iHfPl5G4Ow
Aesthetic Oro-Dental and Implantology Clinic,Dental clinic,27.6750699,85.4094876,ChIJXUcpI_sb6zkRNDorLF8TCb4
Aswini Ayurved,Ayurvedic clinic,27.6660659,85.4255741,ChIJI87wvPEb6zkR7nGPoynQzdE
Joshi Ayurved,Ayurvedic clinic,27.6706198,85.4268092,ChIJ0-36tEMb6zkRiFTCWVq6jko
Amba ayurvedic pharma,Ayurvedic clinic,27.6645248,85.4257775,ChIJjfxNOqgb6zkR_uCR9H5difA
ॐ P.M. Hall,Medical clinic,27.6713119,85.4225951,ChIJDdaohaQa6zkRfHG2hWeoOI8
"Subhakamana Dental Care,Pandubazar,Bhaktapur",Dental clinic,27.6653987,85.4229971,ChIJOaoDr6kb6zkR1TqRdT1jEyw
Start Dental Clinic,Dental clinic,27.6659879,85.4258633,ChIJgQ0HR6Ya6zkRlbM8oiMRyqw
Basic Health Service Centre operated by Bhaktapur Municipality Napali Bhaktapur,Occupational health service,27.6735754,85.4038655,ChIJrRRYAQAb6zkR3V7wn0VznOA
Bhaktapur heart and diabetic centre Suryabinayak,Health consultant,27.6656467,85.4220721,ChIJySFUYwAb6zkRa3VYXww7fDk
AyurSadan Pvt. Ltd.,Naturopathic practitioner,27.6644304,85.4251361,ChIJnaqFG_cZ6zkRwrs7baAb-70
Suryabinayak medical store,Pharmacy,27.6648871,85.4254801,ChIJ0XhRrIgb6zkRzGZ1jTDMs5M
KIRAN koju,Home health care service,27.670355,85.424952,ChIJQwMUEAAb6zkRbnwN8NIWbZA
DR Medics,Pharmacy,27.6643128,85.4231805,ChIJzUuR-Mcb6zkRiXIx3F6lgGY
PHARMACY,Pharmacy,27.6652725,85.423511,ChIJSfDTXAAb6zkRPNAfgkxpZsc
Samadarshi Pharmacy,Pharmacy,27.6643552,85.422288,ChIJvVw37_Yb6zkRB_hIlyfZ5b8
Reliable nepal life insurance limited,Health insurance agency,27.6664834,85.4200751,ChIJix2FJAAb6zkRyl-GdZSWhE8
Aksharaa Pharmacy and Skincare,Pharmacy,27.6674779,85.426954,ChIJq2V4EQAb6zkRnR_U9hGxWaA
Matribhumi Pharmacy,Pharmacy,27.6653214,85.4224288,ChIJkzgPveYb6zkR-4IYlRGG3HM
