category,name,lat,lon,haversine_km,road_km,base_weight_haversine,decayed_weight_haversine,base_weight_road,decayed_weight_road
health_final,Jiwanta Pharmacy,27.6714716,85.4239454,0.1842698196886589,0.2888176828763423,0.385767,0.320847,0.037274,0.027924
health_final,barahi pharmacy,27.6716672,85.4219854,0.11017636429142143,0.12511227005123998,0.632745,0.566735,0.582959,0.514402
health_final,Na Pukhu Pharmacy,27.6717223,85.4220844,0.10032589240243735,0.11917007110183898,0.66558,0.602046,0.602766,0.53505
health_final,Doleshwor Pharmacy,27.671696,85.422078,0.10324478853716273,0.12182799901504944,0.655851,0.591516,0.593907,0.525786
health_final,Sanskrita Pharmacy,27.6715784,85.4223191,0.10865140612727209,0.1231035728940279,0.637829,0.57216,0.589655,0.521356
health_final,Saswatam Pharmacy,27.6716604,85.4219091,0.11457031129317317,0.150035215514296,0.618099,0.551189,0.499883,0.430238
health_final,Sammriddhi Pharmacy,27.6716727,85.4220177,0.10816117217153821,0.12401485043066206,0.639463,0.573907,0.586617,0.518198
health_final,Deep Pharma Pvt LTD,27.6718862,85.4224298,0.0731817950168238,0.07928882832614431,0.756061,0.702707,0.735704,0.679623
health_final,Alfaz Medical Hall,27.67176,85.4221758,0.092942027573026,0.10633157006327437,0.690193,0.628936,0.645561,0.580441
health_final,Service Medical Hall,27.6715094,85.4220593,0.12307078193670225,0.1827727903452957,0.589764,0.52147,0.390757,0.325484
health_final,Bhaktapur Cancer Hospital,27.6731739,85.4223213,0.07302183122444213,0.10033689028528746,0.756594,0.703315,0.665544,0.602006
health_final,Shahid Dharmabhakta National Transplant Center (शहिद धर्मभक्त राष्ट्रिय प्रत्यारोपण केन्द्र),27.6725668,85.4221436,0.03669520122725672,0.2111743000472538,0.877683,0.84606,0.296086,0.239721
health_final,Bhaktapur Cancer Hospital: Dr. Bishnu Shrestha,27.6731991,85.4223223,0.07570544521596512,0.10134589886845939,0.747649,0.693137,0.66218,0.59836
health_final,FOW-NEPAL Friends of Ostomates Worldwide-Nepal,27.6741634,85.4235578,0.20767882564352383,0.2652249217879544,0.307737,0.250027,0.115917,0.088912
health_final,Nepal Red Cross Society,27.6724408,85.4223017,0.02372510528200609,0.023739916057434477,0.920916,0.899325,0.920867,0.899263
