name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,wifi,dine_in,takeout,delivery,breakfast,lunch,dinner,vegetarian,coffee,alcohol,beer,casual,family_friendly,tourists,reservations,cash_only,wheelchair_accessible_entrance,source_file
"Dahi, tasty curd",Restaurant,Restaurant,"M9JM+4JF, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6803154,85.3840549,4.3,17,1,1,2,1,4.3,84,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,
Daily Grind Coffee,Restaurant,Restaurant,"Bhaktapur Durbar Square, Bhaktapur 44800, Nepal",Bhaktapur,27.6721663,85.429265,3.9,16,0,0,4,9,3,98,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Daily See Us,Restaurant,Restaurant,"M978+VGR, Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.6647404,85.3662744,3.3,15,1,3,3,7,3.3,98,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,
Daju bhai dharane sekuva kuna,Restaurant,Restaurant,"M9HW+2X7, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.6775532,85.3974353,4.9,162,0,0,4,52,106,112,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
Daju Vai Khaja Ghar,Restaurant,Restaurant,"MFR6+X22, Bhaktapur, Nepal",Bhaktapur,27.6923888,85.4600068,4.4,11,0,0,1,5,5,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DAJUBHAI KHAJA GHAR,Restaurant,Restaurant,"MCC8+JP7, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6715355,85.4167828,5,6,0,0,0,2,4,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dakshin Barahi Fast Food and Resutrant,Restaurant,Restaurant,"M99P+J9V, Thimi-Biruwa Rd, Anantalingeshwar, Nepal",Anantalingeshwar,27.6691076,85.3859252,4,22,1,1,8,0,4,99.75,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,
Dakshin Barahi Mo:Mo & Food Corner,Fast food restaurant,Fast food restaurant,"M9FP+652, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6730017,85.3853751,4.5,15,0,0,4,0,4.5,60,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,
Dakshinkali Khuwa Udhyog,Bakery,Bakery,"MFPH+HJ3, Unnamed Road, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,27.6863787,85.4790383,3.9,26,0,1,9,8,3.9,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Darjeeling Fast Food,Cafe,Cafe,"Bhaktapur, Suryabinayak 44800, Nepal",Suryabinayak,27.6604966,85.4279471,3.9,17,0,0,5,9,3,80,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,
Dashinkali everest momo center,Fast food restaurant,Fast food restaurant,"MC8G+M69, गःपलि मार्ग, Bhaktapur 44800, Nepal",Bhaktapur,27.666657,85.425601,4.6,12,0,0,1,5,6,91,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,
Daura Chulo,Rice restaurant,Rice restaurant,"JFV9+875, Banepa, Nepal",Banepa,27.6432728,85.4682241,4.5,28,0,0,3,9,4.5,77,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,
Daura Thakali Bhaktapur,Family restaurant,Family restaurant,"M9FR+V76, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6748427,85.3907559,3.1,20,1,8,1,8,3.1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dawa dai khaja ghar,Nepalese restaurant,Nepalese restaurant,"MCJV+PVR, Pipeline Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6818508,85.4446401,5,1,0,0,0,0,1,77,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,
Вкусная еда,Restaurant,Restaurant,"MCG5+6P3, Bhaktapur 44800, Nepal",Bhaktapur,27.6754222,85.4092715,5,1,0,0,0,0,1,84,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
De Arena Restaurant Paryatak Pasal,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6735504,85.4346362,5,1,0,0,0,0,1,87.5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,
De Newa Kitchen,Cafe,Cafe,"MC8Q+8GR, Jagati, Bhaktapur, Nepal",Bhaktapur,27.6658536,85.438753,4.9,30,0,0,1,9,20,168,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
De Temple Cafe,Restaurant,Restaurant,"North side of Dattatraya Square, Bhaktapur 44800, Nepal",Bhaktapur,27.6735231,85.4349476,5,1,0,0,0,0,1,105,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,
De' Hide Out Cafe With Restro,Restaurant,Restaurant,"Liwali-8, Opposite of Khwopa Engineering College main gate, Bhaktapur 44800, Nepal",Bhaktapur,27.6708993,85.4389241,4.8,9,0,0,0,3,6,98,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,
De'MoMo Factory Bhaktapur,Restaurant,Restaurant,"101 Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6672809,85.4234083,4.6,8,0,0,1,3,4,91,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Deepen KhajaGhar,Tea store,Tea store,"M96G+57H, Anantalingeshwar, Nepal",Anantalingeshwar,27.6601844,85.3746558,3,17,1,6,4,4,3,105,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deepshika khaja Ghar,Nepalese restaurant,Nepalese restaurant,"Opposite One Day Cricket Academy, Rukmani Chowk, Bista gau Road, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.6988248,85.3859903,3.5,2,0,0,1,1,0,112,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,
Delhi Alkarim Biryani and Fast Food,Asian restaurant,Asian restaurant,"MC9H+F5W, Durbar Square Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6687485,85.4279453,4.4,51,0,0,5,25,21,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deshemaru khaja Ghar,Restaurant,Restaurant,"M9HX+RVQ, Pukhuddha Marg, Kathmandu 44600, Nepal",Kathmandu,27.6795735,85.3997894,4.2,27,0,0,10,2,4.2,70,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,
Destination Restaurant &Bakery Cafe,Fast food restaurant,Fast food restaurant,"MC9P+394, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6676408,85.4359415,4.4,117,0,1,11,57,48,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Deurali khaja ghar Darjeeling height fyafuulla tol,Restaurant,Restaurant,"Darjeeling Height, Fyafuul Tol, Bhaktapur 44800, Nepal",Bhaktapur,27.6563856,85.4299725,4.1,11,0,0,2,6,4.1,105,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,
DFC restaurant,Restaurant,Restaurant,"M9GX+PF2, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6767637,85.3986141,3.9,26,0,0,9,11,3.9,84,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
