name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,wifi,dine_in,takeout,delivery,breakfast,lunch,dinner,vegetarian,coffee,alcohol,beer,casual,family_friendly,tourists,reservations,cash_only,wheelchair_accessible_entrance,source_file
LUNIVA RESTAURANT AND GUEST HOUSE,Cafe,Cafe,"MCFJ+WJ6 Mulachhen, Bholachhen - Yachhen Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6747818,85.4312311,5,1,0,0,0,0,1,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Luthabu,Family restaurant,Family restaurant,"MC8H+22G, Suryabinayak 44800, Nepal",Suryabinayak,27.6650513,85.4275729,5,6,0,0,0,2,4,91,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Lwaka Baka,Fast food restaurant,Fast food restaurant,"Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.6838397,85.3868701,4.1,336,0,3,62,182,89,94.5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
M2 Restaurant & Bar,Restaurant,Restaurant,"M9F8+V6C, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6746946,85.3655019,3.4,23,1,0,11,11,3.4,84,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,
Ma,Tea store,Tea store,"M989+456, Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.6652779,85.3678655,3.9,13,0,0,1,12,3.9,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maa’s Cafe,Cafe,Cafe,"Tinkune, Sallahghari, Bhaktapur 44800, Nepal",Bhaktapur,27.6708336,85.4091961,5,1,0,0,0,0,1,98,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,
Madhav thapa,Bar,Bar,"PC63+46X, Aananda Bhairav Marg, Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.7103599,85.4031193,4.1,28,0,1,8,7,4.1,105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Madhikarmi JuJu Dhau Center,Dessert restaurant,Dessert restaurant,"MCFJ+4J6, Golmadhi, Bhaktapur 44800, Nepal",Bhaktapur,27.6727945,85.431531,4.7,487,0,0,22,191,274,91,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
"Madhu tea & coffee shop,Gankhu",Restaurant,Restaurant,"M9QW+C65, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6885087,85.3956087,3,20,0,10,4,3,3,70,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,
Madhyapur A.One Food House Digutol,Restaurant,Restaurant,"M9HP+P85, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.679259,85.3858656,3.2,22,0,10,1,8,3.2,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Madhyapur dahi pasal,Bakery,Bakery,"M9MQ+9QW nagarpalika marga, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.683477,85.389454,3.3,18,3,2,0,13,3.3,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Madhyapur dairy and coffee shop,Dairy store,Dairy store,"M9JP+9CW, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.6809973,85.3860676,3.3,29,0,13,2,7,3.3,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Madhyapur Family Restaurant,Restaurant,Restaurant,"M9MP+6FP, Bahakha Bazzar madhyapur thimi 7, Madhyapur Thimi 44811, Nepal",Madhyapur Thimi,27.6829459,85.3866015,3.5,11,0,1,5,4,1,80.5,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,
Madhyapur Fast Food,Fast food restaurant,Fast food restaurant,"M9MP+486, चार दोबाटो, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.68278,85.385764,1,2,1,1,0,0,0,70,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,
Madhyapur Khaajaa Ghar,Restaurant,Restaurant,"M9MQ+7R6, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6831646,85.3895154,4.2,18,0,0,4,7,4.2,77,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,
"Madhyapur Thimi Burger House and Crunchy Fried Chicken,",Restaurant,Restaurant,"M9MQ+62R, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6828082,85.3859495,4.7,3,0,0,0,1,2,86,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,
Madhyapur Tiffin House,Fast food restaurant,Fast food restaurant,"M9MQ+47X, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6828589,85.3882494,3.8,10,0,1,3,3,3.8,101.5,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,
Magar Coffe Shop,Coffee shop,Coffee shop,"JFV9+FWP, Araniko Highway, Suryabinayak, Nepal",Suryabinayak,27.6437091,85.4698301,4.1,12,1,0,3,1,4.1,63,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,
Mahakali Mo mo,Fast food restaurant,Fast food restaurant,"MCGJ+GWG, Bhaktapur 44800, Nepal",Bhaktapur,27.6763359,85.4324363,4.3,3,0,0,0,2,1,98,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,
MAHALAXMI MOMO CENTER,Restaurant,Restaurant,"Bhaktapur 44600, Nepal",Bhaktapur,27.6639636,85.3672374,3,13,0,3,7,3,3,77,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,
Maheshwor Khaja Pasal,Fast food restaurant,Fast food restaurant,"MCJV+HX2, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6813928,85.4448893,4.8,5,0,0,0,2,3,108.5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Maila Daiko Khaja Ghar,Fast food restaurant,Fast food restaurant,"MC95+RFF, Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.6695565,85.4086816,4.7,3,0,0,0,1,2,105,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,
Mainali Cake Shop and Dairy,Cafe,Cafe,"M988+5MR, Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.6654789,85.3666449,3.6,11,0,4,0,3,3.6,98,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,
Majheree Crossroad Cafe,Restaurant,Restaurant,"M9JV+F8V, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6812322,85.3932899,3.2,22,0,5,9,7,3.2,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Majic Mushroom Cafe,Restaurant,Restaurant,"JCQF+GG, Anantalingeshwar, Nepal",Anantalingeshwar,27.6388035,85.4239018,3.7,31,0,1,11,15,4,105,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,
Makai Ghar Sekuwa Palace,Restaurant,Restaurant,"M9GX+QFC, Radhe Radhe Rd, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6769375,85.3986406,3.4,15,0,0,11,2,3.4,91,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,
Makaju Cold Store,Bar,Bar,"Bhaktapur 44200, Nepal",Bhaktapur,27.666449,85.3887848,3.6,24,0,0,14,6,3.6,91,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,
Maligaun high Cafe,Coffee shop,Coffee shop,"JCQR+XMC, Suryabinayak, Nepal",Suryabinayak,27.6399236,85.4416878,4.1,225,0,2,42,122,59,84,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,
Malla's Kitchen,Cafe,Cafe,"MC8G+VM9, 27°40'01.3, 25'36.7""E N 85°, Bhaktapur 44800, Nepal",Bhaktapur,27.6670549,85.4268318,4,1,0,0,0,1,0,98,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,
Mama Bhanja Fast Food,Restaurant,Restaurant,"Radhe Radhe Rd, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6775481,85.3985095,3.9,20,0,2,5,7,3.9,91,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Mamaj cafe (Sukute Beach Contact),Cafe,Cafe,"M9MP+G74, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6837529,85.3856951,5,4,0,0,0,1,3,98,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,
Mamako Coffee Shop,Coffee shop,Coffee shop,"MCCC+QX4, दुधपाटी मार्ग, Bhaktapur 44800, Nepal",Bhaktapur,27.6718891,85.4224559,5,3,0,0,0,1,2,112,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,
Manakamana falful pasal,Restaurant,Restaurant,"M9MQ+4C6, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6827942,85.3885012,3.4,26,2,8,0,10,3.4,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Manandhar Hotel,Restaurant,Restaurant,"MC8P+FF5, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6661458,85.4362277,5,1,0,0,0,0,1,77,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,
Manandhar Newari khaja Ghar,Restaurant,Restaurant,"M9GQ+VFV, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6772347,85.3886696,3.8,24,3,1,4,7,3.8,91,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,
Mangalachhen,Family restaurant,Family restaurant,"MC9G+RGQ, मंगलाछें मार्ग, Bhaktapur 44800, Nepal",Bhaktapur,27.6697682,85.426547,4.2,9,0,0,1,5,3,77,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Manita Stores,Coffee shop,Coffee shop,"MFM9+P7Q, Changunarayan 8, Nepal",Changunarayan,27.6843422,85.4682312,3.5,11,0,2,5,1,3.5,70,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Manju Baha Hotel,Restaurant,Restaurant,"MCFM+WGR, Bhaktapur 44800, Nepal",Bhaktapur,27.6747238,85.433787,5,2,0,0,0,1,1,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Manju chiya pasal,Coffee shop,Coffee shop,"MFJ3+P7X, Bhaktapur, Nepal",Bhaktapur,27.6818554,85.4532209,5,2,0,0,0,1,1,70,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Mathura Takeaway,Breakfast restaurant,Breakfast restaurant,"Bode ,08 Madhyapur Thimi, Bhaktapur 44800, Nepal",Bhaktapur,27.6890283,85.3896276,4.4,255,0,1,25,125,104,84,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,
Matina Cafe,Cafe,Cafe,"Taumadhi Square, Bhaktapur 44800, Nepal",Bhaktapur,27.6715049,85.4298364,5,2,0,0,0,1,1,98,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,0,
Matina Laphing House,Cafe,Cafe,"MCCJ+F28 Kwachhen, Bhaktapur 44800, Nepal",Bhaktapur,27.6711545,85.4300711,3.8,5,0,0,1,3,1,84,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Matina Nasha Chhen,Family restaurant,Family restaurant,"M9FX+2HR Taja tole, Suryabinayak, Nepal",Suryabinayak,27.6725625,85.3989375,4.3,23,0,3,1,6,4.3,95,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,
Matka,Coffee shop,Coffee shop,"M988+4V9, Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.6650427,85.3676507,3.4,17,1,2,8,2,3.4,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Matka chiya pepsicola,Coffee shop,Coffee shop,"M9W9+J4H Pepsicola Khahare Chowk, Pepsicola Khahare Chowk, Kathmandu 44600, Nepal",Kathmandu,27.6965844,85.3678843,3.9,27,1,0,12,3,3.9,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Matka Tea And Cafe,Tea house,Tea house,"M9GX+45H, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6753191,85.3979996,3.2,22,4,2,7,4,3.2,105,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maya khaja ghar,Family restaurant,Family restaurant,"3 Araniko Highway, Suryabinayak 44811, Nepal",Suryabinayak,27.6608589,85.4466364,4.6,15,0,0,1,6,8,105,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,
Mayur Restaurant,Restaurant,Restaurant,"Dattatraya Square, Tachupal Tole, Bhaktapur 44800, Nepal",Bhaktapur,27.6733621,85.434938,4.7,63,0,0,3,25,35,63,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,
Meal Me Restaurant & Bar,Restaurant,Restaurant,"M9GX+66X, Radhe Radhe, Bhaktapur 44800, Nepal",Bhaktapur,27.6756089,85.3981092,4.3,16,0,1,2,4,4.3,98,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,
Mi:loco Cafe' n Restaurant,Restaurant,Restaurant,"Bhaktapur Multiple Campus Road, Dudhpati-1, Bhaktapur 44800, Nepal",Bhaktapur,27.6711367,85.4216744,4,85,0,1,19,46,19,101.5,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,
Midpoint Cafe,Cafe,Cafe,"Har Har Mahadev Chowk, Kagesori, Kathmandu 44600, Nepal",Kathmandu,27.6965345,85.3795497,3.7,26,0,1,9,13,3,84,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Milan tea and coffee sudal,Coffee shop,Coffee shop,"Sudal Health Post, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,27.6832798,85.4822496,4.1,17,0,0,8,0,4.1,63,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Minu KhajaGhar and Bhojanalay,Fast food restaurant,Fast food restaurant,"MCF5+GQX, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6738602,85.4094831,5,1,0,0,0,0,1,84,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,
Miteri Sekuwa Ghar,Restaurant,Restaurant,"M988+W78, Brihaspati Marg, Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.6672789,85.3657097,3.9,17,0,1,5,6,3.9,98,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,
Mitho chiya nasta pasal,Tea store,Tea store,"MC85+CX3, Unnamed Road, Suryabinayak 44800, Nepal",Suryabinayak,27.666006,85.4099179,3.9,30,0,2,6,16,3.9,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mo: Mo Shop,Restaurant,Restaurant,"MCCC+G99, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6712938,85.4209804,3.9,48,0,1,12,26,9,91,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Mo:mo pasal,Momo restaurant,Momo restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6777681,85.4226628,4.2,10,0,0,2,5,3,84,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
Modern Bakery,Bakery,Bakery,"JCQP+3VF, Suryebinayak - Doleswor Rd, Suryabinayak, Nepal",Suryabinayak,27.6376873,85.4371853,4,77,0,1,17,42,17,168,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mohan Newa Khazaghar,Restaurant,Restaurant,"MCF4+53Q, Bhaktapur 44800, Nepal",Bhaktapur,27.6729566,85.4052439,2,2,1,1,0,0,0,80.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Momo & Khaja corner,Coffee shop,Coffee shop,"MC8F+5HP, Suryabinayak 44800, Nepal",Suryabinayak,27.665455,85.4239267,3.3,6,0,1,3,2,0,77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
MOMO CAFE,Coffee shop,Coffee shop,"MCF3+9JH, Srijananagar, Bhaktapur, Nepal",Bhaktapur,27.67344,85.4041116,5,4,0,0,0,1,3,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
MOMO CAFE,Fast food restaurant,Fast food restaurant,"Anantalingeshwar, Nepal",Anantalingeshwar,27.6709016,85.3842039,3.1,10,1,4,1,1,3.1,91,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,
momo center,Fast food restaurant,Fast food restaurant,"Taumadhi Square, Bhaktapur 44800, Nepal",Bhaktapur,27.6716806,85.4301006,4.8,11,0,0,0,4,7,84,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Momo Crave,Family restaurant,Family restaurant,"M9HX+JF9, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6790358,85.3987492,5,3,0,0,0,1,2,105,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,
MOMO MUNI CAFE,Family restaurant,Family restaurant,"MCC4+V9G, Suryabinayak 44800, Nepal",Suryabinayak,27.6721982,85.4058445,5,1,0,0,0,0,1,70,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
Moody Cafe,Restaurant,Restaurant,"Mahakali, Bhaktapur 44800, Nepal",Bhaktapur,27.6756057,85.4317077,4.1,7,0,0,1,4,2,84,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,
Moonlight Snooker House & Restaurant,Family restaurant,Family restaurant,"J9QV+JRC, Anantalingeshwar, Nepal",Anantalingeshwar,27.6390645,85.3945016,4.3,13,0,1,2,2,4.3,84,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Moori De lounge,Cafe,Cafe,"MC8F+C9H, Bhaktapur 44800, Nepal",Bhaktapur,27.666067,85.4234754,4.8,6,0,0,0,2,4,105,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
Mount RED BEANS COFFEE and roastery,Coffee shop,Coffee shop,"JFRG+RRQ, Radhe Radhe Rd, Bhaktpure, Nepal",Bhaktpure,27.6759681,85.3981204,3.2,44,0,7,23,13,1,91,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,
MR BAKE Coffee,Coffee shop,Coffee shop,"MCGQ+G45, Kamal-Vinayak Bus Park, Garud Kundal Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6762531,85.4378648,5,7,0,0,0,2,5,91,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
mrp sekuwa adda सेकुवा KG रक्सी MRP मा,Bar,Bar,"MCF3+6W5, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6730246,85.4047476,5,1,0,0,0,0,1,112,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,
Muglan Hotel & Thakali Restaurant,Restaurant,Restaurant,"MCFH+4HM Durbar Square, भक्तपुर 44800, Nepal",भक्तपुर,27.6728125,85.4289375,4,153,0,2,34,83,34,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mui Bakery,Bakery,Bakery,"M9HX+7CW, Radhe Radhe Rd, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6782316,85.3985692,4.5,21,0,0,1,10,10,108.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
MUKBANG KOREAN BBQ & GRILL,Korean restaurant,Korean restaurant,"Radhe Radhe Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6760139,85.3978358,3.6,25,0,6,6,6,3.6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mushroom Hub Cafe and Fast Food,Cafe,Cafe,"Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6789691,85.4024622,4.5,21,0,0,1,9,4.5,84,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,
Mutton Hub Pvt. Ltd.,Asian restaurant,Asian restaurant,"Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6794842,85.4003572,4.4,16,0,3,0,1,4.4,84,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,
MY BAKERY,Bakery,Bakery,"M9MQ+R6M, Unnamed Road, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6845823,85.3880426,4.4,171,0,0,17,84,70,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
My Cafe,Coffee shop,Coffee shop,"MCC4+RGP, Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.6720649,85.4063076,4.7,3,0,0,0,1,2,91,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
My home,Bakery,Bakery,"M9MP+3CR Bahakha Bazar Bus Stop, Bhaktapur Road, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6826579,85.3860919,3.1,27,0,14,2,6,3.1,91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Na:Pukhu Fast Food,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6714316,85.4231449,5,1,0,0,0,0,1,91,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,
Naan house,Indian restaurant,Indian restaurant,"M9GX+62Q, Radhe Radhe Rd, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6755324,85.3977585,3.6,21,2,4,2,6,3.6,63,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Nabin Mobile Care,Bakery,Bakery,"MC7G+499, Suryabinayak 44800, Nepal",Suryabinayak,27.6627832,85.425985,3.3,21,2,3,5,9,3.3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nagarkot Khaja & Thakali Bhojanalaya,Nepalese restaurant,Nepalese restaurant,"MCGQ+C28, Jagati-KamalBinayak Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6760335,85.4375354,3.8,63,0,2,19,33,9,98,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,
Nagarkot peace garden cafe,Coffee shop,Coffee shop,"6 Changunarayan Rd, Changunarayan 44600, Nepal",Changunarayan,27.7028242,85.4399102,4.6,5,0,0,0,2,3,84,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Naisha's Cake And Bake House,Bakery,Bakery,"Byasi-6, Nagarkot Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6758929,85.4304317,3.2,21,1,6,4,8,3.2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nakha Chhen Newari Restaurant,Restaurant,Restaurant,"kamalvinayak area, Bhaktapur 44800, Nepal",Bhaktapur,27.6831696,85.4539651,4,26,0,0,6,14,6,91,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,
Namaste,Coffee shop,Coffee shop,"P92P+V75, Kathmandu 44600, Nepal",Kathmandu,27.7017266,85.3857734,3.9,22,0,0,6,12,4,112,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Namaste Coffee Shop,Coffee shop,Coffee shop,"Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6713833,85.4295005,5,1,0,0,0,0,1,91,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Namaste Gautam Traders Liquor Shop,Bar,Bar,"M9JV+8M7, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6807922,85.3942555,3.4,10,0,0,7,2,3.4,98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Namaste Kabhre Restro,Fast food restaurant,Fast food restaurant,"MC8P+QF7, Bhaktapur 44800, Nepal",Bhaktapur,27.6669134,85.436165,4.3,26,0,0,3,14,9,63,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,
Namaste khaja ghar,Restaurant,Restaurant,"M98F+M9G, Brihaspati Marg, Anantalingeshwar 44600, Nepal",Anantalingeshwar,27.6666809,85.3734376,4.1,14,0,0,6,1,4.1,105,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Namaste Newa Fastfood,Restaurant,Restaurant,"MCHQ+5MC, 10 Nagarkot Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6780133,85.4391407,5,1,0,0,0,0,1,98,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,
Namaste Restaurant,Family restaurant,Family restaurant,"5 Taumadhi, Bhaktapur 44800, Nepal",Bhaktapur,27.6713046,85.4294878,4,108,0,1,24,59,24,98,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,
Namo Buddha Cafe and Tanduri Kitchen,Cafe,Cafe,"M9FF+CWP, Araniko Highway, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.6735883,85.3748384,4,23,1,5,1,3,4,63,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,
Namo Buddha Khaja Ghar,Cafe,Cafe,"MCGF+C5P, Nagarkot Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6760901,85.4229492,4.1,8,0,0,2,4,2,84,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Narey's Café,Coffee shop,Coffee shop,"MC7G+R4C, Suryabinayak 44800, Nepal",Suryabinayak,27.6645571,85.4252743,4.3,3,0,0,0,2,1,63,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,
Nasajwolan Newa kitchen & Continental Food,Family restaurant,Family restaurant,"Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6723271,85.424125,5,3,0,0,0,1,2,77,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,
Nashir Shekh Halal meat shop,Restaurant,Restaurant,"8 Bode Mahalaxmi Marg, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6890815,85.3896465,4.4,29,0,0,5,8,4.4,78.75,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,
Nasika Sekuwa and Burger Station,Restaurant,Restaurant,"MC7G+79V, F099, Suryabinayak 44800, Nepal",Suryabinayak,27.6632535,85.425985,5,2,0,0,0,1,1,98,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Nauni Ghiu Biryani Restro And Bar,Restaurant,Restaurant,"MCF4+F22, Sirjana nagar, Bhaktapur 44800, Nepal",Bhaktapur,27.6736257,85.4050284,5,2,0,0,0,1,1,105,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,
Nawa Durga Khaja Ghar and Fast Food,Restaurant,Restaurant,"Kamalbinayak, Bhaktapur 44800, Nepal",Bhaktapur,27.6752549,85.438541,5,2,0,0,0,1,1,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nawaj Resturant,Restaurant,Restaurant,"M9HG+XCW, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6799797,85.3760665,4.3,10,0,0,0,7,4.3,91,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,
Nayuma Restaurant,Fast food restaurant,Fast food restaurant,"Chitrapur, Suryabinayak 4, Bhaktapur, Nepal",Bhaktapur,27.657684,85.3884251,3.2,25,0,8,8,6,3.2,91,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,
NEA Training Centre Canteen,Cafe,Cafe,"MFP4+P7F, Mahamanjushree Nagarkot, Nepal",Mahamanjushree Nagarkot,27.6868218,85.4556838,5,1,0,0,0,0,1,84,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,
Neeva’s Cafe & Pizzeria,Coffee shop,Coffee shop,"M9FF+9PQ, Gatthaghar Road, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.673457,85.3743608,4.3,27,2,3,1,1,4.3,91,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,
