name,lat,lng,category,final_weight,rank,filled_rank
magar niwas,27.6748464,85.4273098,Hindu temple,0.3367697594535728,97,97.0
Bholachhen Ganesh Temple,27.6751106,85.4319521,Hindu temple,0.3946570797059425,99,99.0
Anantalingeswar Temple,27.6724439,85.4265545,Hindu temple,0.4285259309925024,100,100.0
गाँखु महादेब मन्दिर,27.6886132,85.3948237,Hindu temple,0.3900894826377104,12,12.0
Temple Square,27.699378,85.3816558,Hindu temple,0.3555555555762963,15,15.0
Ganesh Temple,27.6991877,85.3831991,Hindu temple,0.4930708915940529,19,19.0
"Sidhhi Ganesh Temple, Nagadesh",27.6841608,85.3843357,Hindu temple,0.7125962988279345,1,1.0
Luu jhya(golden window),27.6840503,85.3853201,Hindu temple,0.5459296322446012,2,2.0
श्री सिद्धेश्वर महादेव मन्दिर,27.6845209,85.3781801,Hindu temple,0.5516771613883716,3,3.0
"Sileshwor Mahadev, Naagdesh",27.6873549,85.381375,Hindu temple,0.5698290157602877,4,4.0
Saraswati Mandir,27.6826682,85.3851232,Hindu temple,0.502104216029025,6,6.0
जंला द्यो Harisiddhi Temple 𑐖𑑄𑐮𑐵 𑐡𑑂𑐫𑑅 𑐠𑐶𑐩𑐶 𑐩𑐴𑐾𑐱𑑂𑐰𑐬𑐷,27.6808972,85.385612,Hindu temple,0.4268820131544652,7,7.0
Kumanani Ganesh Temple गणेद्यो,27.6805202,85.3855531,Hindu temple,0.4039783715375947,8,8.0
Radha Krishna Temple,27.6820325,85.3795552,Hindu temple,0.483585697497132,9,9.0
Ganesh Temple,27.6893094,85.3809187,Hindu temple,0.4939488727248637,10,10.0
प्रकारेश्वर महाद्यः,27.6807205,85.3830701,Hindu temple,0.39261473516504825,11,11.0
Nityanath Temple नासं द्यो,27.6808733,85.3844688,Hindu temple,0.3900894826377104,12,12.0
Kshetrapal Mandir (क्षेत्रपाल मन्दिर),27.6843523,85.3875818,Hindu temple,0.38795273049916396,13,13.0
सिद्धिकाली मू: धिमे छें,27.681213,85.3851627,Hindu temple,0.4014851877375642,15,15.0
Bhimsen Temple / भिन्द्यो,27.6807391,85.3817354,Hindu temple,0.40009629884746584,16,16.0
𑐣𑐵𑐳𑑅 𑐡𑑂𑐫𑑅 Nityenath Temple,27.6800305,85.3868497,Hindu temple,0.4568275516525833,17,17.0
"Shiv Mandir Bahakha Bazaar, Nagadesh",27.6829558,85.3861071,Hindu temple,0.4098085948716144,18,18.0
Siddhikali Temple,27.6806137,85.3830539,Hindu temple,0.5541350698070233,20,20.0
Mahadev Temple,27.685101,85.3843531,Hindu temple,0.34666666667946666,25,25.0
Sileshwor chock madhyapur Thimi,27.687304,85.3803283,Hindu temple,0.34567901235756743,27,27.0
Dhuncho Bagh Dhara Chok,27.6896666,85.3816661,Hindu temple,0.34523809524957483,28,28.0
Doleshwar Mahadev Temple,27.6388668,85.4384091,Hindu temple,1.0,1,1.0
Pilot Baba Ashram,27.6401489,85.4226591,Hindu temple,0.8104564945484437,2,2.0
Suryabinayak Ganesh Temple,27.6562438,85.4234219,Hindu temple,0.7144857190340925,4,4.0
Pathivara Temple,27.6443052,85.4165683,Hindu temple,0.6303307385176533,5,5.0
Tarakeshwor Mahadev Temple,27.6396401,85.416252,Hindu temple,0.5141313268700299,6,6.0
