name,lat,lng,category,banks_count_1km,banks_weight_1km,education_count_1km,education_weight_1km,health_count_1km,health_weight_1km,temples_count_1km,temples_weight_1km,other_count_1km,other_weight_1km,cafe_weight,poi_composite_score
Dakshin Barahi Mo:Mo & Food Corner,27.6730017,85.3853751,Fast food restaurant,45,21.738724445550602,4,1.623120001225628,12,4.478797178416416,152,63.418340366616526,55,23.011056528213935,0.8280933607491585,2.6009747231919484
Meal Me Restaurant & Bar,27.6756089,85.3981092,Restaurant,38,19.312032734199633,42,14.786790026653403,50,21.10711484192148,128,52.64991353967717,55,23.25931742025099,0.8407086585490307,2.59928061913196
ALX VARIETY FOOD,27.6729441,85.3842916,Restaurant,47,22.889812621886474,4,1.623120001225628,11,4.008624925528838,151,63.255670184307604,56,23.750734139817737,0.8118233575614886,2.5943317062773406
Newa Nanee,27.6735524,85.4124763,Restaurant,31,16.078653600876414,107,37.442734889407426,109,44.62117997592166,69,28.7204428671385,80,32.8011661917608,0.7960579426824574,2.593659359231375
SanjaBunja (सजॅंबुजॅं),27.675553,85.3842259,Restaurant,47,22.889812621886474,4,1.623120001225628,11,4.008624925528838,157,65.53523165998091,57,23.815174387343998,0.7571165361421976,2.582163359624697
Chiya Sangai: Best Tea Shop in Bhaktapur,27.6769293,85.4377586,Tea store,38,17.790809893239697,115,36.739284252961035,104,44.10958142688507,226,94.52683253988307,101,39.71095251291348,0.55053924601816,2.5814227915893553
Sawaa Garden Cafe,27.6766824,85.3933197,Restaurant,37,18.4401822668528,24,9.137347073757637,32,13.861528186388735,147,60.71657612224251,58,24.643666661293356,0.860308588326471,2.580928661689266
The Box Hub,27.6776134,85.4387782,Bar,37,17.26042500090311,108,34.9511947314833,93,39.89242903251496,219,91.88278163282175,95,37.53777847999595,0.660205619507009,2.5768910615073337
Chicken Station Radhe Radhe Bhaktapur,27.6753388,85.39819,Fast food restaurant,37,19.011004506436755,42,14.786790026653403,51,21.57809762370201,126,51.909824057023634,53,22.443629241656517,0.8365009881677302,2.5766856692759523
Bhimeshwor Mo:Mo & Chinese Stick House,27.6726938,85.3853502,Restaurant,44,21.118961816017297,4,1.623120001225628,12,4.478797178416416,152,63.418340366616526,54,22.612749391468203,0.8230629028559856,2.5766718853609154
Arabica coffee Radhe Radhe,27.6763531,85.3981224,Coffee shop,38,19.312032734199633,41,14.886491987156372,49,20.64046971821224,130,53.40883467913663,54,22.766750974709396,0.8032354761089594,2.574212837930912
Kalash Food Cafe,27.6729236,85.3876911,Cafe,42,20.455213268065357,8,2.9393808195264755,14,6.082829602896941,149,62.108038726452676,51,21.765428577617588,0.8372193458957021,2.574152871006188
Bhatbhateni Food Park (Bhaktapur),27.6750698,85.397268,Restaurant,38,19.350669087453404,38,14.04593462009378,48,20.24719972072997,132,54.389822803512864,55,23.634188007765708,0.8118233575614886,2.572681504768604
Nyasa Cafe,27.676534,85.43905,Cafe,37,17.26042500090311,111,35.62794729127012,94,40.251403391512994,224,93.96682101243621,96,37.94296366523915,0.6173484952239897,2.55783241788249
Kolakhu De Cafe,27.6754737,85.3853666,Cafe,46,22.267241343883505,4,1.623120001225628,12,4.478797178416416,154,64.4285821064754,55,22.968299443232446,0.7526962300907996,2.556780658544838
Duwal house,27.672089,85.4403049,Coffee shop,44,20.811693975970748,118,37.048430019428075,98,41.70736134293492,232,96.95446163270657,94,37.440743618734125,0.5,2.5511425544944037
Thakali Station,27.6783117,85.4407716,Asian restaurant,34,16.379140212552404,94,31.330933681461975,87,36.946762615599106,193,81.60348901239604,84,33.888537862459856,0.8357754824842993,2.5508974074751074
The Burger House and Cruchy Fried Chicken,27.6741244,85.374662,Restaurant,42,21.26607106655829,3,1.1577489452096297,9,3.4221855949294655,150,62.37223589447661,58,23.889051299382277,0.9775528480507916,2.546628465426283
Ghorasaini Liquor & Fruits,27.6709226,85.4138819,Bar,37,18.945740264633272,134,45.62182308523754,132,54.61502351270737,105,43.981900848838514,94,36.97888791729164,0.5,2.5432953288866393
Sandar Momo Radhe Radhe,27.6765189,85.3982259,Momo restaurant,38,19.312032734199633,41,14.886491987156372,49,20.64046971821224,129,53.054668012450435,53,22.529225832323743,0.7894847810256198,2.541048917120358
Beeburger And Real Kitchen,27.6737832,85.379333,Restaurant,49,24.231157686953992,3,1.150433017007727,10,3.729308810431845,161,66.87520206373031,58,23.721455699427363,0.8147998002014839,2.5401936564261405
Urmi Coffee Shop,27.6773786,85.3984431,Coffee store,38,19.312032734199633,42,15.503630978111751,50,21.03819604368424,128,52.74637057851396,49,20.89131223937524,0.8176594890621673,2.5379547336417687
The Golden Lion,27.6617555,85.4211059,Sports bar,37,18.039441074846255,130,42.34982050262919,111,46.3004302046972,149,63.01460331059465,81,30.25550980440441,0.6010784920363198,2.537533307921356
A2 Matka Chiya and Fastfood,27.6714348,85.3859299,Restaurant,41,19.926696369732454,6,2.0143237049817846,13,5.2612317757932425,148,61.7195561597721,53,22.582191371925298,0.8213058848346391,2.535132520827615
Balkumari Coffee Shop,27.6764901,85.3857096,Coffee shop,46,22.33504027664531,4,1.623120001225628,12,4.478797178416416,155,64.86337385928161,56,23.484869330308776,0.7021569840726396,2.5334120255889174
Duku Family Restaurant & Sekuwa Hub,27.673066,85.3859269,Restaurant,43,20.756411533337328,6,2.0143237049817846,12,4.478797178416416,152,63.418340366616526,53,22.37029153804141,0.7742393293975594,2.533105038835545
ATITHI FOOD PALACE,27.6750932,85.3986352,Restaurant,36,18.471915281049327,43,15.246628439423711,51,21.57809762370201,124,51.10992597951431,50,21.11134968893086,0.8327990398443039,2.528250305875252
Chhusyaki Traders,27.6772092,85.4408656,Bar,36,16.919155159625518,98,32.24061521932538,91,38.96782696739926,204,86.1130544883334,87,35.009339502426265,0.7253763116754715,2.5196600550943313
Matka Tea And Cafe,27.6753191,85.3979996,Tea house,37,19.011004506436755,42,14.786790026653403,51,21.57809762370201,127,52.25982405703947,56,23.841887670300093,0.7612841115433286,2.5183505127280537
PEPE PIZZA bhaktapur,27.6754472,85.3971339,Family restaurant,38,19.350669087453404,39,14.240379064563685,48,20.24719972072997,134,55.18046162175444,55,23.471517299896796,0.7526962300907996,2.5174516069200457
Divyashwori Guest House & Restaurant,27.676267,85.3880049,Restaurant,41,20.07171774720026,8,2.9393808195264755,13,5.349713596426881,156,65.18867872507576,54,22.86003201069341,0.7571165361421976,2.51368909912569
चिया- chhey,27.677701,85.3959463,Family restaurant,39,20.028446865245172,32,12.012443193108135,40,17.228976214033015,143,58.901478417589615,57,24.301373645755746,0.7403084292605133,2.511941627784675
Kumar Bakery and Coffee Shop,27.6809137,85.3861548,Bakery,45,22.574923153008946,5,1.9897866679222946,10,3.6690546275004188,153,63.625798102447476,52,22.479038666879923,0.7837632021323228,2.509759279107269
King Everest Momo Center (Rose village Sakha)👑,27.6598766,85.425972,Momo restaurant,40,19.068688888729177,120,38.83129528554238,108,45.04943742773804,172,72.1568670882098,76,28.543278424138702,0.5801028097535045,2.506892354597279
.....,27.6735042,85.3854631,Fast food restaurant,45,21.738724445550602,4,1.623120001225628,12,4.478797178416416,154,64.22407859366524,55,23.011056528213935,0.7184269872603095,2.5064344945066246
Newa Chimney,27.6745959,85.3844078,Restaurant,46,22.24846675851434,4,1.623120001225628,11,4.008624925528838,156,65.13958662178311,57,23.815174387343998,0.6924208470843213,2.5063529366500106
Duipokhari Coffee Shop,27.6781442,85.3862113,Coffee shop,48,23.976494320260898,5,1.9897866679222946,11,4.139226880387998,158,65.73948915973051,56,23.929510898992,0.6418816010661614,2.499116796805893
Dream Beans Cafe,27.6774415,85.398256,Restaurant,38,19.312032734199633,42,15.503630978111751,50,21.03819604368424,129,53.13304095142321,50,21.2009137134544,0.7725236568378258,2.4988903273927714
Hatimahakal Garden Cafe,27.6799345,85.3862147,Cafe,46,23.12751468136753,5,1.9897866679222946,11,4.057943516435604,154,63.87843672895262,53,22.84873772230799,0.7065772901240378,2.4894524613372604
Khwopa Coffee Hub,27.6754861,85.3974593,Cafe,38,19.350669087453404,39,14.240379064563685,48,20.24719972072997,131,53.984829023461714,55,23.471517299896796,0.7219844108196658,2.4867285512228663
Ohh My Chicken Pizza Hub Radhe Radhe,27.6775612,85.3985169,Family restaurant,38,19.312032734199633,42,15.503630978111751,50,21.03819604368424,127,52.35748168957877,49,20.89131223937524,0.7759155576936313,2.485042074401691
Chyasha cafe,27.6763231,85.4398356,Cafe,37,17.26042500090311,108,34.71218866680655,92,39.39797697551719,220,92.49027889649798,90,36.28842219056262,0.5801028097535045,2.4814586597804364
Shiva ram house,27.6746056,85.4399017,Bar,38,17.790809893239697,111,35.059724770783944,95,40.96285520716262,228,95.57915714049903,101,40.48603973273932,0.5,2.4804695049238745
Indreni food stick,27.6730043,85.3853889,Coffee shop,45,21.738724445550602,4,1.623120001225628,12,4.478797178416416,152,63.418340366616526,55,23.011056528213935,0.7021569840726396,2.4786360762538338
C.B. Coffee Shop,27.6716327,85.3847579,Coffee shop,44,21.118961816017297,4,1.623120001225628,11,4.008624925528838,151,63.02955552992383,55,23.56432683695588,0.7526962300907996,2.473889716985782
Freshco Cafe and Barista Coffee School,27.676841,85.3982214,Coffee shop,38,19.312032734199633,41,14.886491987156372,49,20.64046971821224,128,52.55044094628519,51,21.70619344348033,0.7346969904479794,2.4705744527088944
Sandwich O' Clock,27.6768088,85.3980483,Restaurant,38,19.312032734199633,41,14.886491987156372,49,20.64046971821224,130,53.483040951439044,52,22.061748999056626,0.7219844108196658,2.4696329880287085
Bhairav Hotel,27.679197,85.3859545,Restaurant,48,23.976494320260898,5,1.9897866679222946,10,3.6690546275004188,156,64.75877354258694,54,23.33643020103005,0.6418816010661614,2.4692085654946947
Best Kuboos Rolls & Restro,27.6731679,85.3867754,Restaurant,42,20.455213268065357,6,2.0143237049817846,13,5.300395005520114,152,63.26786379898661,52,22.009180426904834,0.7065772901240378,2.4649313353818583
Nice Coffee Shop & Khaja Ghar,27.6754222,85.3860485,Coffee shop,44,21.665068419687934,5,1.8106200012451592,12,4.478797178416416,153,64.08670176458673,54,22.680751471178723,0.6748370656573115,2.4637704879994398
It's Bee's Knees Tavern & Lounge,27.6765083,85.3942093,Restaurant,34,16.639665173446353,30,11.20645235601219,35,15.106673681647806,145,59.61824817978262,56,23.917905227676336,0.7503813461529023,2.463285005771639
Belli The Fine Dine,27.6729575,85.3835842,Restaurant,48,23.41309157058037,4,1.623120001225628,11,4.008624925528838,155,64.77732267856992,56,23.639337237666076,0.7065772901240378,2.4593232587134213
The Chiya Vibes and restro,27.67771,85.3978591,Restaurant,38,19.312032734199633,40,15.029614778231574,48,20.24719972072997,134,55.26422245467541,50,21.2009137134544,0.7286174105755541,2.456719641941636
Ghattaghar Majheree Cafe & Live Sekuwa,27.6762843,85.3755291,Restaurant,46,23.343048860730264,2,0.8099228582392453,11,4.189874375306491,155,63.870640338105126,54,21.937076223183947,0.8239257853480275,2.4549832189906255
Shankhadhar Newari KhajaGhar,27.6724497,85.3847092,Restaurant,45,21.738724445550602,4,1.623120001225628,11,4.008624925528838,154,64.59236823767338,57,24.323745084838198,0.6924208470843213,2.45497261652328
Mui Bakery,27.6782316,85.3985692,Bakery,38,19.312032734199633,41,15.215889288053951,51,21.43218754188867,128,52.7074816895946,49,20.89131223937524,0.7403084292605133,2.452208992113173
Syryabinayak Bhaktapur,27.6599178,85.4259639,Momo restaurant,42,20.41455881215084,120,38.83129528554238,108,45.04943742773804,172,72.1568670882098,77,28.978692298571424,0.5,2.451940420859776
CafeGippum,27.6774686,85.3987862,Korean restaurant,38,19.312032734199633,42,15.503630978111751,50,21.03819604368424,125,51.39645245716693,51,21.831011294936335,0.7403084292605133,2.4512412409661506
