name,lat,lng,category,subcategory_weight,final_weight,rank,filled_rank
Himalayan Glory English School,27.6738973,85.4242467,Preschool,0.5,0.1851851852026749,18,18.0
Siddhartha Academy,27.6721087,85.4036271,Preschool,0.5,0.3363434921447838,4,4.0
Shikchhyalaya Montessori,27.6909221,85.411736,Preschool,0.5,0.2222222222685185,6,6.0
Wee Can Pre-School Bhaktapur-Nepal,27.6554638,85.4048932,Preschool,0.5,0.1825396825547997,21,21.0
Lama Thanka Center,27.6713261,85.4277296,Drawing lessons,0.5,0.3723306355042367,13,13.0
स्लाश एजुकेशन फाउण्डेसन प्रा.लि.,27.6659578,85.4253128,Educational institution,0.5,0.4103439349303306,86,86.0
Suryabinayak Mini Krishi Farm,27.6657136,85.427336,Farm school,0.5,0.17251461988878627,57,57.0
Aarogya Farms Katunje,27.6604304,85.4084352,Farm school,0.5,0.27523238099191344,15,15.0
Vidyarthi Niketan School - Bhaktapur,27.6721365,85.4297881,School center,0.5,0.38937512245886063,3,3.0
Shree Springdale S B School,27.6406042,85.431487,School center,0.5,0.38659238205208096,6,6.0
Bhaktapur Maple School,27.6599338,85.4258096,School center,0.5,0.24014144303838705,11,11.0
See result Online,27.6691065,85.4060715,School center,0.5,0.26842559859586695,10,10.0
Pragya English School,27.6893492,85.4120976,Boarding school,0.7,0.25294117648904263,17,17.0
Manoram Boarding School,27.6693151,85.4045028,Boarding school,0.7,0.25185185186934156,18,18.0
Apex Boarding High School,27.65994,85.425774,Boarding school,0.7,0.2589743589980276,13,13.0
Icon Music,27.6759639,85.437378,Music school,0.5,0.27211669004339656,64,64.0
Nepali traditional Music Studio,27.6827708,85.4493108,Music school,0.5,0.1794871794995069,26,26.0
"Sankalpa institute of Music, Dance and Arts",27.6706317,85.4093747,Music school,0.5,0.1756756756844412,37,37.0
Fusion Music And Dance Academy,27.6762311,85.4375939,Music school,0.5,0.37565346252650694,55,55.0
Mukti Music Training Center,27.671551,85.4302259,Music school,0.5,0.24064782079355215,60,60.0
Sa Re Ga Ma Music School & RecordingStudio,27.6716621,85.4079405,Music school,0.5,0.175000000008125,40,40.0
Unity thangka,27.6730727,85.4346271,Art school,0.7,0.2827943875567465,53,53.0
Bajrala Thangka Painting School,27.6725729,85.4292055,Art school,0.7,0.3762451365316237,55,55.0
Historical Thangku Art School,27.6731633,85.4347781,Art school,0.7,0.23918128655545293,57,57.0
Traditional Thanka Painting School,27.672697,85.429784,Art school,0.7,0.32523238097663565,60,60.0
Geniune Thanka Painting School,27.6701003,85.4277698,Art school,0.7,0.35110351745257345,54,54.0
Peace Thanka Centre,27.6694639,85.4278085,Art school,0.7,0.23816425121249038,69,69.0
IEC School of Art & Fashion,27.6709844,85.4097768,Art school,0.7,0.34051015876848173,16,16.0
Destiny Tuition Centre,27.671988,85.4313619,Special education school,0.5,0.1720430107579778,62,62.0
Satprayas Special Needs School Nepal,27.6677801,85.4323108,Special education school,0.5,0.1720430107579778,62,62.0
