name,lat,lng,reviews_count,weekly_hours,cafe_individual_score,cafe_weight,banks_count_1km,banks_weight_1km,education_count_1km,education_weight_1km,health_count_1km,health_weight_1km,temples_count_1km,temples_weight_1km,other_count_1km,other_weight_1km,banks_rank,education_rank,health_rank,temples_rank,other_rank
Antarikshya Stick Food,27.6742943,85.4046743,0,85.0,0.5,0.5,18,9.686178846491394,59,21.000215566821876,45,19.463183371112798,32,14.12242850767587,40,16.875238549925786,978.0,477.0,569.0,1037.0,828.0
Anup Tea Shop,27.6785213,85.481423,0,85.0,0.5,0.5,1,0.7543930975284249,2,0.8484848484993113,0,0.0,19,8.114336067918549,2,0.7729155357339212,1185.0,976.0,1296.0,1236.0,1328.0
Anush khaja ghar,27.6835895,85.3912925,0,85.0,0.5,0.5,36,17.924091322002702,8,2.5998806321249415,11,4.283799654256116,144,59.697956200956014,41,17.298491386145294,683.0,721.0,736.0,550.0,812.0
A-One Fast Food & Chaat Center,27.6688119,85.4279565,1,85.0,0.55053924601816,0.55053924601816,64,30.82748492990018,179,57.42555977447051,170,70.98278864701774,258,107.50833239606408,125,48.24394291027295,103.0,7.0,129.0,3.0,80.0
Apsara tea pasal,27.695699,85.375817,0,85.0,0.5,0.5,8,3.5963651464388606,1,0.34523809524957483,1,0.3939914982044257,36,15.249035897999214,25,10.166684309834745,1113.0,1224.0,1194.0,1004.0,1020.0
Araniko Village Resort,27.6574907,85.4540373,117,85.0,0.8478435903268764,0.8478435903268764,2,1.1773650975306253,7,2.052147525850828,6,3.026039190588391,20,7.932907024856523,13,5.660672903773427,1177.0,765.0,954.0,1241.0,1187.0
Arjan Bakery,27.6714981,85.4223347,0,85.0,0.5,0.5,54,26.793326850483485,173,55.60992294969819,143,59.45488871408793,244,101.83519066014703,116,45.46571275507869,208.0,100.0,221.0,169.0,201.0
Arjun Tea Shop,27.6811319,85.3882329,5,85.0,0.6306420557716643,0.6306420557716643,39,19.564337993977038,7,2.5916385198541363,12,4.528115769323183,150,62.210270071829925,50,21.190502454731224,517.0,722.0,704.0,478.0,623.0
Aroj Home,27.6943257,85.3773779,1,85.0,0.55053924601816,0.55053924601816,15,7.507897882007203,1,0.34523809524957483,1,0.3939914982044257,44,18.896748273431445,30,12.275667085923969,1056.0,1224.0,1194.0,885.0,950.0
Art Gallery Cafe (AGC),27.6717925,85.4324033,0,85.0,0.5,0.5,64,31.102161909654388,176,57.03733998533854,179,75.6456887611889,244,101.43319391240158,123,48.44479813766567,55.0,22.0,3.0,186.0,57.0
ASALfood and beverage,27.6621394,85.4261398,8,85.0,0.660205619507009,0.660205619507009,48,23.092173772436887,133,42.17117460944404,123,51.42061483811026,207,86.40886965179729,100,38.925532324259926,337.0,322.0,313.0,327.0,326.0
Asar,27.6708943,85.3762267,0,85.0,0.5,0.5,40,20.565249178934913,2,0.8125108499600547,9,3.4221855949294655,136,56.41530283156194,57,23.193621104242176,461.0,996.0,874.0,625.0,473.0
Awal Newari Khaja Ghar,27.6768192,85.4337163,1,85.0,0.55053924601816,0.55053924601816,52,25.04477046990664,145,46.018646349608446,143,61.62885517209066,239,99.59868053004277,115,45.40087116346584,280.0,284.0,191.0,226.0,203.0
B and B fast food,27.6844657,85.3877447,2,85.0,0.5801028097535045,0.5801028097535045,39,19.564337993977038,4,1.5251019049326242,10,3.813627401368537,143,59.035815228352405,45,18.901331281904408,517.0,873.0,802.0,576.0,751.0
Back Point Cafe and Sekuwa Corner,27.7015916,85.3807886,0,85.0,0.5,0.5,8,3.5963651464388606,0,0.0,1,0.3939914982044257,28,11.782618602910684,22,9.027678847208698,1113.0,1261.0,1194.0,1125.0,1079.0
