name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,imageUrl,url
Cartrule Pathsala,Public library,Public library,"P92J+J8M, Kathmandu 44600, Nepal",Kathmandu,27.7015916,85.3807886,5.0,1,0,0,0,0,1,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pS79C_Nh6NHzLvq_rGSc7Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=350.27304&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Cartrule%20Pathsala&query_place_id=ChIJNyWu0dMb6zkRyFfmdNwxyoA
Tech-City Pvt. Ltd.,Software company,Software company,"Jagannath Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6723806,85.4301217,5.0,1,0,0,0,0,1,63.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhH3UG_dJV84ZORnV6k_KFpPL8YfmutkTQ4pgLXr1CKNODsywyGEdGdvrgR9KfmJeFg34ilzAdoOB26ByE2PH1NBcEuG3b_XU_AXqX_cVVdQCfLpmrO7XXMb0WKhlZPqNoL3vyKisyHLOEhXu9h8NlS6EZIR9fNnbCKsW5VQViht_xir-wb7jJNEDgWXbvJ3QGzxw1Y=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Tech-City%20Pvt.%20Ltd.&query_place_id=ChIJQTIKSa4a6zkRNHCP4DQijGc
2nd ticket counter - bhaktapur square,Ticket office,Ticket office,"MCGJ+426 Bus Stop, Bhaktapur 44800, Nepal",Bhaktapur,27.6753192,85.4300027,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WNpb1_Fjy37doYETIKYEWw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=24.353584&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=2nd%20ticket%20counter%20-%20bhaktapur%20square&query_place_id=ChIJi_3IQgAb6zkRNQ6mjFP9z0k
Aashakiran Psychological Counseling And Autism Care Center,Mental health service,Mental health service,"Suryabinayak 44800, Nepal",Suryabinayak,27.6643255,85.4264016,5.0,3,0,0,0,0,0,67.5,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyhpuJ5525RFv8hcpaG6fT4hMhMW2T2cWduXKfCIHoTDN9Xcu-wT1_hnH7XY_G_LtaU64uS9nraj6hDgfnCarWzhlXAGlpTVS3wA0Hv8iUL1JIgnTZfyF6mwD81RWol0b2xLtgH=w532-h240-k-no,https://www.google.com/maps/search/?api=1&query=Aashakiran%20Psychological%20Counseling%20And%20Autism%20Care%20Center&query_place_id=ChIJbTCpT_Ub6zkRakazjK80Un4
Reliable nepal life insurance limited,Health insurance agency,Health insurance agency,"MC8C+H2W, Bhaktapur 44800, Nepal",Bhaktapur,27.6664834,85.4200751,5.0,1,0,0,0,0,1,38.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=66aDdmwxY57lTc8V42JrJQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=3.9109879&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Reliable%20nepal%20life%20insurance%20limited&query_place_id=ChIJix2FJAAb6zkRyl-GdZSWhE8
Dental Department of Changunarayan Hospital,Dentist,Dentist,"Changu road, Bhaktapur 44800, Nepal",Bhaktapur,27.7077516,85.4402298,5.0,3,0,0,0,0,0,24.0,https://lh3.googleusercontent.com/p/AF1QipPtejINcYAdUj_VOgCiZE32X3EjVBnTneC-Lrja=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Dental%20Department%20of%20Changunarayan%20Hospital&query_place_id=ChIJFRV-e0EF6zkR-zfYJtLu7HM
बिराज डेन्टल प्रा.लि.,Dentist,Dentist,"MCC5+9WV, Bhaktapur 44800, Nepal",Bhaktapur,27.6709639,85.4098039,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rSPlH8OzaLsVcEFArwgFRw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=2.9314754&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=%E0%A4%AC%E0%A4%BF%E0%A4%B0%E0%A4%BE%E0%A4%9C%20%E0%A4%A1%E0%A5%87%E0%A4%A8%E0%A5%8D%E0%A4%9F%E0%A4%B2%20%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%BE.%E0%A4%B2%E0%A4%BF.&query_place_id=ChIJ7Ur0lLwb6zkRyfZHKdOL-V8
"Nirvana Physiotherapy & Wellness Center, Bhaktapur | Ayurvedic Therapy | Osteopathy | Naturopathy",Physical therapy clinic,Physical therapy clinic,"Balanko-06 Opposite of Laxmi Market, Suryabinayak 44800, Nepal",Suryabinayak,27.6644186,85.425808,4.9,25,0,0,0,0,0,65.0,https://lh3.googleusercontent.com/p/AF1QipM-lew3iN4sUuMv661OQQvDRkX5leEP_a5-NxNP=w408-h272-k-no,https://www.google.com/maps/search/?api=1&query=Nirvana%20Physiotherapy%20%26%20Wellness%20Center%2C%20Bhaktapur%20%7C%20Ayurvedic%20Therapy%20%7C%20Osteopathy%20%7C%20Naturopathy&query_place_id=ChIJTabKen8b6zkR3EL7qQ6MFwY
Namaste Khwopa Physiotherapy Clinic,Physical therapy clinic,Physical therapy clinic,"school, Tathali Nala Bus Stop, libali 44800, Nepal",libali,27.6728628,85.4396822,5.0,6,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxsPrBd8AasHdsjJXEYn2hPZ0uT1Zl-LVv9X4mReANOFywLs_aCEWVNFJDve-bjgdP_HpiqC6WeBlSGhlPZaqr5OPl75tZm-nIBzHfeFy8uGzkAUJV0cBRIwWP9aAGwQb0HUQ0=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Namaste%20Khwopa%20Physiotherapy%20Clinic&query_place_id=ChIJNepe5iEF6zkRVcy0MuIzEk4
Devaki Physiotherapy And Rehabilitation Centre Pvt Ltd,Physical therapy clinic,Physical therapy clinic,"Chymasingha -9 Next to Khwopa Hospital Parking Entrance, Bhaktapur 44800, Nepal",Bhaktapur,27.6739544,85.439454,4.3,7,0,0,0,0,0,77.0,https://lh3.googleusercontent.com/p/AF1QipO37BsE7w8rgNY8cB_lSzI4_p5x7FrtFHoe2gkl=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Devaki%20Physiotherapy%20And%20Rehabilitation%20Centre%20Pvt%20Ltd&query_place_id=ChIJJWwpJwAF6zkRHMQAzpulgdk
