name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,imageUrl,url
Sarbashree SAAKOSH,Cooperative bank,Cooperative bank,"MC7C+MFV, Suryabinayak 44800, Nepal",Suryabinayak,27.6642456,85.4211767,0.0,0,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wb-zkIUE1lrjDWwaRK3_AQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=336.42407&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Sarbashree%20SAAKOSH&query_place_id=ChIJ986xIwAb6zkRXTQ202EZLfQ
Samyukta Multipurpose Cooperative Ltd.,Cooperative bank,Cooperative bank,"MC8G+3VR, Suryabinayak 44800, Nepal",Suryabinayak,27.6652346,85.4271415,0.0,0,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxQB52zdXAURODyZfDgjX3iJ5HpBmQgEWa-vVJf5qBTBm3k0P-IIbCME-wrKA7I555xzNybhl7ykf3Rk8Tnc8tVbThDiFvB2lY6pAk53vwy8gx_8i9t7jQlqnI2AzoWcgENgjTD_A=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Samyukta%20Multipurpose%20Cooperative%20Ltd.&query_place_id=ChIJR4wBs1ob6zkReoAZcOIake0
Sukunda Saving & Credit Co-operative,Cooperative bank,Cooperative bank,"Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6666377,85.435941,5.0,1,0,0,0,0,0,41.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFG81Z2HJPIwolPkivFTnZVer1LcIf4Vi6uR8MkOFBxrmNpfLSXQHc0O5DW-IWcsO-Udj1YkSESx22aTWg0KgGSQFPYRyG9XAQbkbLQjo6nIFqXOXgLnGs-CDDR3X6aQI5qDdgZxpUtrqwkUHNhbDq9JaO9MpO1_UVne0HTe1Bxu99o7-7cXZ-Jb5ImT0YuCWCKTv0=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Sukunda%20Saving%20%26%20Credit%20Co-operative&query_place_id=ChIJBUaJFKsa6zkR775XQuPawg4
Ambe Savings & Credit Co-operative Ltd,Cooperative bank,Cooperative bank,"MC9Q+W4J, Garud Kundal Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6698038,85.4378043,1.0,1,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NEIYAZ7f_0RJ0wreuKt9ZA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=282.32294&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Ambe%20Savings%20%26%20Credit%20Co-operative%20Ltd&query_place_id=ChIJX0HRDv4F6zkRaSBnFXJQexE
Susandesh Multipurpose Co-operative Limited,Cooperative bank,Cooperative bank,"Jagati banepa RoadMCFR+FH7, Bhaktapur 44800, Nepal",Bhaktapur,27.6661946,85.4375785,5.0,2,0,0,0,0,0,22.5,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qlBkA_vt1Cxop93AnFvtlQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=187.3651&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Susandesh%20Multipurpose%20Co-operative%20Limited&query_place_id=ChIJu0UVy7cF6zkRV7Hr-Uapr7Q
Samuhik SACCOS,Cooperative bank,Cooperative bank,"03 Bolachhen, Bhaktapur 44800, Nepal",Bhaktapur,27.6703149,85.4279855,4.0,1,0,0,0,1,0,48.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FMgIyf3kDZUJNNpFbWjzfg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=153.08319&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Samuhik%20SACCOS&query_place_id=ChIJMWqtca8a6zkRwJqrhly-Reg
Bhaktapur Jilla Bachat Sangh,Cooperative bank,Cooperative bank,"MCCH+9WW, Bhaktapur 44800, Nepal",Bhaktapur,27.6709939,85.4298429,4.0,1,0,0,0,0,0,42.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Xiwkb2LIzRqxgf6gIkv8Jw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=356.44382&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=Bhaktapur%20Jilla%20Bachat%20Sangh&query_place_id=ChIJ3ZTpxJgb6zkRMa2Cc2Tc1k8
"Sangam Saccos , Bhaktapur",Cooperative bank,Cooperative bank,"Bhaktapur 44800, Nepal",Bhaktapur,27.669264,85.4291882,0.0,0,0,0,0,0,0,42.0,https://lh3.googleusercontent.com/p/AF1QipMs-QDQ7RqcayO0-4-qrQ54Tk-Fqdhba0bY-vjM=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Sangam%20Saccos%20%2C%20Bhaktapur&query_place_id=ChIJyYYyVF4b6zkRruqAqTL1w3A
NMB Bank Limited,Bank,Bank,"MCCJ+XJF, Bhaktapur 44800, Nepal",Bhaktapur,27.6724355,85.4315571,3.9,10,0,0,0,0,0,45.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG5amii1c_o1GaXNIr_KoLh4wyJ6GjXf-17Kb1tmxib7Q-9No5hkBZ3Sg3SEVN1euduel3haRSWXP5BwWeGpQ6WAqUhvxW7LIGrEDemSgOn9_hgKOPc4IoaXC9cUsLrWuBpIb_QSt9igHOqIpFrDXUy7hKRUDep_7EP_szPY4HXhXkufaHZ3CJHMizXYH9FXa0jgXQ=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=NMB%20Bank%20Limited&query_place_id=ChIJBw_pbK4a6zkR5b6dZp7kv-A
Mega Bank Nepal,Bank,Bank,"Bhaktapur Municipality-05 Shukuldhoka, Bhaktapur 44800, Nepal",Bhaktapur,27.6726474,85.4311074,3.5,2,0,0,0,0,0,29.0,https://lh3.googleusercontent.com/p/AF1QipPtQbGyC70ntN8XKzVE68ZV1ShkxEA37YK-6Yoh=w408-h333-k-no,https://www.google.com/maps/search/?api=1&query=Mega%20Bank%20Nepal&query_place_id=ChIJt5I7W0wb6zkRQ_8ibDB5asY
Laxmi Sunrise Bank Ltd. Bhaktapur Branch (SukulDhoka),Bank,Bank,"MCFJ+2CX, Sukul Dhoka Marg, Bhaktapur 44800, Nepal",Bhaktapur,27.6726204,85.4311066,3.3,28,0,0,0,0,0,34.0,https://lh3.googleusercontent.com/gps-proxy/ALd4DhER2AXbTUIhmjkKKGpGV77RYLeFlzPG7V34tp5GdXaySDP-u3WcLx47fL8UdFUh8bnkWFHrVRFmqbAE0CGb_-H2rhlU8d9ZkGC4B87-iQqdAZeWU-Gq7h67GTokKOLXmHO4UYy3PspYMXQcPZfCu_VOFx4dPlMzgo31khCkg0pv_zZo--dnphB-anSYF82ND6S-ENw=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Laxmi%20Sunrise%20Bank%20Ltd.%20Bhaktapur%20Branch%20(SukulDhoka)&query_place_id=ChIJKcVqFa4a6zkR66TMLvlu6FA
Himalayan Bank Limited,Bank,Bank,"रत्न भवन, Bhaktapur 44800, Nepal",Bhaktapur,27.671919,85.430089,2.7,23,0,0,0,0,0,28.5,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwcUWcblcMiPxuObwZ5ut9i_1SnEeX97C4ZKZIrvl2uFd_yWFhVYiN5m1GDJRqb9HQNQ4O3T_-x-5vT_a9ROajVERQ97nUbAP4tyGTELrxrszhxWg_LGfgxUBIu6_dwdvwUwpXX=w426-h240-k-no,https://www.google.com/maps/search/?api=1&query=Himalayan%20Bank%20Limited&query_place_id=ChIJ68PcTa4a6zkRoU_23CzJnII
Century Bank (Sukuldhoka Bhaktapur Branch),Bank,Bank,"MCFJ+393, Bhaktapur 44800, Nepal",Bhaktapur,27.6726404,85.4309344,2.5,2,0,0,0,0,0,0.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzTmbYfkBgtyaFOUYQecdSL0hqOP_5FN38-wYgslPGHHUVnT9AZsgcl7FacRceaNbY6MmQyLsb_9-4A8K2CqN0OHq2AV2Pj7afuMdt6ekrjSsqE1oIzN4NIfis1PCJoY8MloCis=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Century%20Bank%20(Sukuldhoka%20Bhaktapur%20Branch)&query_place_id=ChIJq6VbpyQb6zkReSbxfZ1qFcQ
Kumari Bank Ltd. Byasi Branch,Bank,Bank,"MCGJ+65R, Nagarkot Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6756102,85.4303872,4.0,15,0,0,0,0,0,33.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyBWLUd6-cstUR6hPmJIWn8wVLBXUVRoaukC2gr0BCjtNfTwlUMR33ZKmg6eJdQcSKUS4bbyYkPH_OzsRwHvDh9zUAghGDC4KWMgoj78t9BQVKrZmF20RJoFGE7YPKrjGsWGOQ=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Kumari%20Bank%20Ltd.%20Byasi%20Branch&query_place_id=ChIJKetkncQb6zkRsE_6Pr-PBNc
Global IME Bank Limited,Bank,Bank,"Jagati-KamalBinayak Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6771552,85.4365291,1.8,9,0,0,0,0,0,36.0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzdOQCWAZWVuzyNVzzJ0xg_Yra2hgAkXk78wZMbu3eI2JEtgAuB2ApWEavXXR0rUoxq6ZR2YTHbc8vZUSdPJyo-izvrWd2CievJ7h9ochUvF_pBOMB5ZA4n12a5HdKuhD-NSi3P=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Global%20IME%20Bank%20Limited&query_place_id=ChIJz0HgGhEb6zkR3JTgkFVhJj8
"Durbar ATM Lounge ,Bhaktapur- Durbar Square",Bank,Bank,"5 Durbar Square, Bhaktapur 44800, Nepal",Bhaktapur,27.6719257,85.4286371,4.6,5,0,0,0,0,0,168.0,https://lh3.googleusercontent.com/p/AF1QipPmZ0ds0WRo_S_HAfPfawM0OKGPUWVOZc-TW4ws=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Durbar%20ATM%20Lounge%20%2CBhaktapur-%20Durbar%20Square&query_place_id=ChIJNyb2b8ob6zkRt5SL3FGspkQ
NIC ASIA Bank And ATM,Bank,Bank,"Byasi Gate, Bhaktapur 44800, Nepal",Bhaktapur,27.674665,85.4277391,5.0,1,0,0,0,0,0,0.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tqcIReHC5iB19HG_Wsol9w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=143.80037&pitch=0&thumbfov=100,https://www.google.com/maps/search/?api=1&query=NIC%20ASIA%20Bank%20And%20ATM&query_place_id=ChIJJ3w_ZCkb6zkR4-HZlLBioxo
