lat,lng,cafe_weight,_row_index
27.6822642,85.3814527,1.6577,124
27.6718159,85.3647823,3.9022,125
27.6652518,85.3798063,1.0122,126
27.677067,85.4370221,5.6358,127
27.6836829,85.4369235,0.7611,128
27.682206,85.3824075,1.3373,129
27.6707806,85.422736,7.3381,130
27.6672465,85.4260279,10.7255,131
27.6737832,85.379333,2.9234,132
27.684394,85.4117026,3.38,133
27.6720391,85.3878463,6.3304,134
27.6729575,85.3835842,3.9645,135
27.6731679,85.3867754,11.0151,136
27.6519635,85.4554825,1.1655,137
27.6709669,85.4227737,7.7411,138
27.679197,85.3859545,5.6763,139
27.6712812,85.4211715,10.2042,140
27.6675974,85.4265822,9.0772,141
27.6747541,85.4460334,2.2262,142
27.6708782,85.425545,7.5007,143
27.675625,85.4422873,2.504,144
27.6653251,85.4254639,12.3541,145
27.666245,85.4182367,1.4498,146
27.6841275,85.3894429,6.9724,147
27.6722945,85.4270212,11.6007,148
27.6847054,85.4110257,3.9416,149
27.6730011,85.3856447,12.4476,150
27.6565342,85.4323974,1.8509,151
27.6750698,85.397268,9.1966,152
27.700689,85.3761218,2.8863,153
27.6732102,85.3649158,6.6507,154
27.6726938,85.3853502,10.4437,155
27.675825,85.4381791,5.6778,156
27.6666304,85.4359586,3.3343,157
27.6724194,85.4043218,4.5759,158
27.664614,85.3663413,6.9441,159
27.6783543,85.4339395,1.3238,160
27.6768541,85.4371348,6.134,161
27.6753198,85.3979596,19.3942,162
27.6767413,85.375151,6.9705,163
27.6733609,85.4051482,5.8336,164
27.662928,85.3653101,1.4378,165
27.6717998,85.3647335,4.0823,166
27.6751651,85.4085202,3.2281,167
27.6609597,85.4481456,1.473,168
27.6892273,85.3932541,2.3488,169
27.6653898,85.366322,7.6166,170
27.7095616,85.4149692,2.3999,171
27.6733387,85.364884,7.5957,172
27.6667533,85.3726955,1.8876,173
27.678122,85.4070447,3.6454,174
27.6999773,85.367482,3.6196,175
27.6738313,85.4098194,7.6692,176
27.6753468,85.4269932,3.2291,177
27.6716327,85.3847579,6.1826,178
27.676537,85.3930194,3.5727,179
27.6799679,85.3761355,5.5186,180
27.6689815,85.4057539,1.6296,181
27.674848,85.4084642,3.7491,182
27.6647937,85.3718426,1.3843,183
27.6699487,85.4277691,10.8,184
27.6783498,85.3984108,12.2788,185
27.6727303,85.4267056,11.2848,186
27.6652664,85.4226844,8.5421,187
27.6746089,85.3669585,11.0347,188
27.6830101,85.3863668,10.8548,189
27.6837496,85.3897351,7.3535,190
27.6816941,85.3885169,5.8191,191
27.6718091,85.4306621,15.2714,192
27.6774686,85.3987862,14.7386,193
27.664202,85.4217985,4.4434,194
27.6650324,85.3682898,4.0415,195
27.6828491,85.3883392,9.9153,196
27.6862685,85.4514109,0.8805,197
27.7021453,85.3857197,2.8348,198
27.6659531,85.4345625,2.5837,199
27.6671996,85.363031,1.2217,200
27.6872342,85.3883943,2.071,201
27.6721252,85.4235942,8.3596,202
27.6965982,85.3678565,3.886,203
27.6816716,85.4104162,5.3803,204
27.6857468,85.4436662,0.803,205
27.6821975,85.3891531,4.6128,206
27.7149508,85.4073196,2.713,207
27.6822725,85.3890198,8.2695,208
27.6660273,85.4332801,1.2349,209
27.6755983,85.3913541,2.1455,210
27.6772092,85.4408656,2.9542,211
27.6686449,85.3654345,5.1079,212
27.6783067,85.4407137,3.835,213
27.6753388,85.39819,18.2649,214
27.6744234,85.3721044,10.7029,215
27.6784898,85.3984238,12.1996,216
27.7101837,85.4024352,2.5047,217
27.6738988,85.392768,0.9843,218
27.6649378,85.3863822,1.6914,219
27.6703872,85.4281081,12.5728,220
27.673315,85.4394403,2.4687,221
27.6667118,85.3661668,5.7085,222
27.6774298,85.3755227,5.1645,223
27.6604619,85.4274029,2.6246,224
27.6759822,85.4337928,3.8514,225
27.6673926,85.4261771,10.3361,226
27.6578507,85.4284849,2.2838,227
27.6889911,85.3895483,2.9472,228
27.6769293,85.4377586,5.0638,229
27.6736422,85.3650583,9.6635,230
27.6693444,85.3817081,2.6492,231
27.6795482,85.4008847,3.7608,232
27.7009029,85.3796067,1.3677,233
27.6765533,85.3773701,2.1969,234
27.6827936,85.4112598,5.1158,235
27.6974294,85.3747136,6.0377,236
27.6645196,85.3670625,8.4499,237
27.6684943,85.3654291,5.3593,238
27.6745491,85.3736103,20.7872,239
27.6756675,85.4200654,0.8448,240
27.6735409,85.3748279,11.388,241
27.6899028,85.382321,1.009,242
